Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Ignition Total Timing (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),Knock Count (Combined) (Knock Events),Manifold Relative Pressure (psi),Mass Airflow (g/s),Throttle Sensor Voltage (V),A/F Learning #1 (%),Intake Air Temperature (F),Mass Airflow Sensor Voltage (V),Volumetric Efficiency* (Load Multiplier)
950,14.59,13.76,176,2904,39.00,6.79,0.00,6.09,7.45,0.40,0.00,0,-8.71,19.33,0.78,-14.84,93,2.10,75.7202
1023,14.47,13.76,176,2882,39.00,6.76,0.00,6.09,7.45,0.41,0.00,0,-8.71,19.77,0.80,-14.84,93,2.10,76.0315
1097,14.59,13.84,176,2886,39.00,6.77,0.00,6.24,7.45,0.41,0.00,0,-8.56,20.04,0.80,-14.84,93,2.12,76.1963
1169,14.70,13.76,176,2884,39.00,6.77,0.00,6.24,7.84,0.42,0.00,0,-8.56,20.41,0.80,-14.84,93,2.12,76.4740
1242,14.70,13.84,176,2899,39.00,7.42,0.00,6.38,7.84,0.43,0.00,0,-8.42,20.78,0.80,-14.84,93,2.12,76.6296
1315,14.59,13.84,176,2898,39.00,7.43,0.00,6.38,7.84,0.43,0.00,0,-8.42,20.78,0.80,-14.84,93,2.14,76.8768
1388,14.59,13.84,176,2890,39.00,7.42,0.00,6.53,7.84,0.44,0.00,0,-8.42,20.87,0.80,-14.84,93,2.14,76.9684
1461,14.59,13.84,176,2889,39.00,7.40,0.00,6.53,8.24,0.43,0.00,0,-8.27,21.13,0.80,-14.84,93,2.14,77.0660
1534,14.47,13.84,176,2891,39.00,7.40,0.00,6.53,8.24,0.44,0.00,0,-8.27,21.13,0.80,-14.84,93,2.14,77.1576
1607,14.59,13.84,176,2904,39.00,7.40,0.00,6.53,8.24,0.45,0.00,0,-8.27,21.59,0.80,-14.84,93,2.16,77.4445
1680,14.70,13.92,176,2904,39.00,7.44,0.00,6.53,8.24,0.44,0.00,0,-8.27,21.32,0.80,-14.84,93,2.16,77.4048
1754,14.70,13.76,176,2907,39.00,7.44,0.00,6.53,8.24,0.44,0.00,0,-8.27,21.50,0.80,-14.84,93,2.16,77.4414
1828,14.59,13.84,176,2898,39.00,7.42,0.00,6.67,8.24,0.45,0.00,0,-8.13,21.68,0.82,-14.84,93,2.16,77.6611
1899,14.81,13.84,176,2896,39.00,7.40,0.00,6.67,8.24,0.45,0.00,0,-8.13,21.68,0.82,-14.84,93,2.16,77.6917
1973,14.81,13.84,176,2908,39.00,7.42,0.00,6.67,8.24,0.45,0.00,0,-8.13,21.69,0.82,-14.84,93,2.16,77.7161
2046,14.70,13.84,176,2910,39.00,7.44,0.00,6.67,8.24,0.45,0.00,0,-8.13,21.78,0.82,-14.84,93,2.16,77.7008
2119,14.70,13.84,176,2910,39.00,7.45,0.00,6.67,8.24,0.45,0.00,0,-8.13,22.05,0.82,-14.84,93,2.16,77.9053
2191,14.81,13.84,176,2898,39.00,7.45,0.00,6.82,8.24,0.45,0.00,0,-8.13,22.22,0.82,-14.84,93,2.18,77.9449
2266,14.70,13.84,176,2906,39.00,7.44,0.00,6.82,8.24,0.46,0.00,0,-7.98,22.22,0.82,-14.84,93,2.18,78.0304
2337,14.70,13.76,176,2899,39.00,7.42,0.00,6.82,8.63,0.46,0.00,0,-7.98,22.22,0.82,-14.84,93,2.18,78.1311
2411,14.70,13.84,176,2919,39.00,7.47,0.00,6.82,8.63,0.46,0.00,0,-7.98,22.60,0.82,-14.84,93,2.18,78.3447
2484,14.70,13.84,176,2914,39.00,7.46,0.00,6.96,8.63,0.48,0.00,0,-7.84,22.79,0.84,-14.84,93,2.20,78.5828
2557,14.70,13.84,176,2910,39.00,8.11,0.00,6.96,9.02,0.48,0.00,0,-7.84,23.18,0.84,-14.84,93,2.20,78.7445
2630,14.70,13.84,176,2912,38.50,8.07,0.00,7.11,9.41,0.50,0.00,0,-7.69,23.94,0.84,-14.84,93,2.22,79.0771
2704,14.70,13.84,176,2926,38.50,8.08,0.00,7.25,9.80,0.51,0.00,0,-7.69,24.22,0.86,-14.84,93,2.24,79.3945
2776,14.70,13.84,176,2925,38.50,8.74,0.00,7.40,9.80,0.52,0.00,0,-7.55,25.27,0.86,-14.84,93,2.26,79.7729
2852,14.59,13.84,176,2927,38.50,8.11,0.00,7.55,10.20,0.53,0.00,0,-7.40,26.09,0.88,-14.84,93,2.26,80.0873
2923,14.59,13.84,176,2922,38.00,8.73,0.00,7.69,10.20,0.54,0.00,0,-7.25,26.30,0.88,-14.84,93,2.28,80.5298
2996,14.47,13.76,176,2920,38.00,8.72,0.00,7.69,10.59,0.54,0.00,0,-7.11,26.62,0.88,-14.84,93,2.28,80.7861
3069,14.59,13.84,176,2938,38.00,8.77,0.00,7.84,10.59,0.56,0.00,0,-6.96,27.13,0.88,-14.84,93,2.30,81.0577
3141,14.59,13.76,176,2935,38.00,8.77,0.00,7.98,10.59,0.56,0.00,0,-6.82,27.13,0.88,-14.84,93,2.30,81.3354
3213,14.59,13.76,176,2932,38.00,8.79,0.00,7.98,10.59,0.56,0.00,0,-6.82,27.55,0.88,-14.84,93,2.30,81.4880
3287,14.59,13.76,176,2940,37.50,8.76,0.00,8.13,10.59,0.56,0.00,0,-6.82,27.75,0.90,-14.84,93,2.30,81.6589
3361,14.70,13.84,176,2946,38.00,8.78,0.00,8.13,10.98,0.56,0.00,0,-6.67,27.95,0.90,-14.84,93,2.32,81.7047
3434,14.59,13.76,176,2955,37.50,8.80,0.00,8.13,10.98,0.57,0.00,0,-6.67,27.75,0.90,-14.84,93,2.30,81.9275
3508,14.70,13.84,176,2940,38.00,8.83,0.00,8.13,10.98,0.57,0.00,0,-6.67,28.16,0.90,-14.84,93,2.32,81.9794
3580,14.70,13.76,176,2949,37.50,9.44,0.00,8.27,10.98,0.57,0.00,0,-6.67,28.16,0.90,-14.84,93,2.32,82.0862
3653,14.59,13.84,176,2942,37.50,8.79,0.00,8.13,10.98,0.56,0.00,0,-6.67,27.75,0.90,-14.84,91,2.32,82.0343
3726,14.70,13.76,174,2964,37.50,9.49,0.00,8.27,10.98,0.57,0.00,0,-6.53,28.17,0.90,-14.84,91,2.32,82.0862
3800,14.70,13.76,174,2958,37.50,9.47,0.00,8.27,10.98,0.57,0.00,0,-6.53,28.17,0.90,-14.84,91,2.32,82.2479
3872,14.70,13.84,174,2954,37.50,9.44,0.00,8.27,10.98,0.58,0.00,0,-6.53,28.38,0.90,-14.84,91,2.32,82.2510
3946,14.59,13.76,174,2965,37.50,9.45,0.00,8.27,10.98,0.57,0.00,0,-6.53,28.16,0.90,-14.84,91,2.32,82.2479
4018,14.59,13.84,174,2974,37.50,9.49,0.00,8.27,10.98,0.58,0.00,0,-6.53,27.95,0.90,-14.84,91,2.32,82.2540
4094,14.70,13.76,174,2960,37.50,9.52,0.00,8.27,10.98,0.57,0.00,0,-6.53,28.38,0.90,-14.84,91,2.32,82.2479
4165,14.70,13.84,174,2965,37.50,8.86,0.00,8.27,10.98,0.57,0.00,0,-6.53,27.95,0.90,-14.84,91,2.32,82.3059
4238,14.70,13.76,174,2977,37.50,9.53,0.00,8.27,10.98,0.57,0.00,0,-6.53,28.16,0.90,-14.84,91,2.32,82.3090
4311,14.70,13.84,174,2981,38.00,8.90,0.00,8.27,10.98,0.57,0.00,0,-6.53,28.17,0.90,-14.84,91,2.32,82.3059
4384,14.70,13.76,174,2969,37.50,9.50,0.00,8.27,10.98,0.57,0.00,0,-6.53,28.38,0.90,-14.84,91,2.32,82.2571
4457,14.70,13.84,174,2986,37.50,8.89,0.00,8.27,10.98,0.57,0.00,0,-6.53,28.17,0.90,-14.84,91,2.32,82.2571
4530,14.59,13.84,174,2998,37.50,8.92,0.00,8.27,10.98,0.57,0.00,0,-6.53,28.06,0.90,-14.84,91,2.32,82.2571
4602,14.70,13.84,174,2978,38.00,8.96,0.00,8.27,10.98,0.57,0.00,0,-6.53,28.16,0.90,-14.84,91,2.32,82.3669
4678,14.70,13.84,174,2989,38.00,9.53,0.00,8.27,10.98,0.57,0.00,0,-6.53,28.28,0.90,-14.84,91,2.32,82.3639
4749,14.81,13.84,174,3000,37.50,9.56,0.00,8.27,10.98,0.57,0.00,0,-6.53,28.59,0.90,-14.84,91,2.34,82.2601
4821,14.70,13.76,174,3002,38.00,8.97,0.00,8.27,10.98,0.57,0.00,0,-6.53,28.16,0.90,-14.84,91,2.32,82.2662
4894,14.59,13.84,174,2994,38.00,8.94,0.00,8.27,10.98,0.57,0.00,0,-6.53,28.16,0.90,-14.84,91,2.32,82.2632
4968,14.70,13.76,174,2998,38.00,8.96,0.00,8.27,10.98,0.56,0.00,0,-6.53,28.16,0.90,-14.84,91,2.32,82.2693
5042,14.70,13.84,174,3006,38.00,9.62,0.00,8.27,10.98,0.57,0.00,0,-6.53,28.38,0.90,-14.84,91,2.32,82.2693
5113,14.81,13.84,174,3001,38.00,8.97,0.00,8.27,10.98,0.56,0.00,0,-6.53,28.17,0.90,-14.84,91,2.32,82.3181
5187,14.70,13.84,174,3018,37.50,9.60,0.00,8.27,10.98,0.57,0.00,0,-6.53,28.58,0.90,-14.84,91,2.32,82.2693
5261,14.70,13.84,174,3018,38.00,9.66,0.00,8.27,10.98,0.57,0.00,0,-6.53,28.38,0.90,-14.84,91,2.32,82.2723
5333,14.70,13.84,174,3014,38.00,9.66,0.00,8.27,10.98,0.56,0.00,0,-6.53,28.59,0.90,-14.84,91,2.32,82.2174
5406,14.59,13.76,174,3010,38.00,8.99,0.00,8.27,10.98,0.56,0.00,0,-6.53,28.27,0.90,-14.84,91,2.32,82.2754
5481,14.59,13.84,174,3026,38.00,9.04,0.00,8.27,10.98,0.56,0.00,0,-6.53,28.06,0.90,-14.84,91,2.32,82.2754
5553,14.59,13.84,174,3013,38.00,9.64,0.00,8.27,10.98,0.56,0.00,0,-6.53,28.59,0.90,-14.84,91,2.34,82.2693
5626,14.70,13.84,174,3024,38.00,9.68,0.00,8.27,10.98,0.56,0.00,0,-6.53,28.59,0.90,-14.84,91,2.32,82.2235
5700,14.70,13.84,174,3026,38.00,9.06,0.00,8.27,10.59,0.55,0.00,0,-6.53,28.27,0.88,-14.84,91,2.32,82.1228
5773,14.59,13.84,174,3020,38.00,9.04,0.00,7.84,9.41,0.54,0.00,0,-6.67,27.54,0.84,-14.84,91,2.30,81.9122
5847,14.59,13.84,174,3035,38.50,8.38,0.00,7.40,8.63,0.51,0.00,0,-6.96,24.69,0.82,-14.84,91,2.24,80.5481
5919,14.36,13.84,174,3040,39.00,8.42,0.00,7.11,8.63,0.48,0.00,0,-7.40,22.98,0.82,-14.84,91,2.18,79.7272
5992,14.01,13.84,174,3024,39.00,7.78,0.00,6.96,8.24,0.44,0.00,0,-7.69,21.87,0.82,-14.84,91,2.18,79.0558
6065,14.13,13.92,174,3046,39.00,7.15,0.00,6.82,8.24,0.43,0.00,0,-7.84,21.95,0.82,-14.84,91,2.16,78.5034
6138,14.47,13.84,174,3045,39.50,7.15,0.00,6.67,8.24,0.42,0.00,0,-8.13,21.59,0.82,-14.84,91,2.16,78.1891
6211,14.93,13.84,174,3031,39.50,7.11,0.00,6.67,8.24,0.42,0.00,0,-8.13,21.41,0.80,-14.84,91,2.14,77.9724
6285,15.04,13.84,174,3044,39.50,7.14,0.00,6.53,7.84,0.42,0.00,0,-8.27,21.13,0.80,-14.84,91,2.14,77.7069
6357,14.93,13.76,174,3032,39.50,7.14,0.00,6.53,7.84,0.40,0.00,0,-8.27,20.78,0.80,-14.84,91,2.14,77.2827
6432,14.81,13.84,174,3026,39.50,7.12,0.00,6.38,7.45,0.40,0.00,0,-8.42,20.04,0.80,-14.84,91,2.12,77.0569
6504,14.70,13.84,174,3047,39.50,7.10,0.00,6.24,7.45,0.38,0.00,0,-8.42,19.41,0.78,-14.84,91,2.10,76.8738
6576,14.70,13.84,174,3023,39.00,7.15,0.00,6.09,7.45,0.38,0.00,0,-8.56,19.02,0.78,-14.84,91,2.08,76.4557
6649,14.70,13.76,174,3031,39.00,6.45,0.00,6.09,7.06,0.38,0.00,0,-8.71,19.02,0.78,-14.84,91,2.08,76.2268
6722,14.93,13.76,174,3034,39.00,6.47,0.00,5.95,7.06,0.37,0.00,0,-8.71,18.57,0.78,-14.84,91,2.08,75.9796
6796,14.93,13.84,174,3032,39.00,6.47,0.00,5.95,6.67,0.36,0.00,0,-8.85,18.34,0.76,-14.84,91,2.06,75.8606
6869,14.81,13.84,174,3028,39.00,6.46,0.00,5.95,6.67,0.36,0.00,0,-8.85,18.27,0.76,-14.84,91,2.06,75.6622
6942,14.81,13.76,174,3041,39.00,6.49,0.00,5.80,6.67,0.35,0.00,0,-9.00,17.74,0.76,-14.84,91,2.04,75.4333
7015,14.70,13.84,174,3019,38.50,6.45,0.00,5.80,6.27,0.35,0.00,0,-9.00,17.43,0.74,-14.84,91,2.04,75.1465
7087,14.70,13.84,174,3034,38.50,6.44,0.00,5.51,5.88,0.33,0.00,0,-9.14,17.21,0.74,-14.84,91,2.02,74.8138
7160,14.59,13.76,174,3031,38.00,5.82,0.00,5.51,5.88,0.33,0.00,0,-9.29,16.56,0.74,-14.84,91,2.00,74.5514
7234,14.59,13.84,174,3025,38.00,5.82,0.00,5.37,5.88,0.32,0.00,0,-9.29,16.23,0.74,-14.84,91,2.00,74.2950
7306,14.81,13.76,174,3030,38.00,5.81,0.00,5.37,5.49,0.31,0.00,0,-9.43,15.89,0.72,-14.84,91,1.98,74.0479
7380,14.70,13.92,174,3030,38.00,5.82,0.00,5.37,5.49,0.31,0.00,0,-9.43,15.67,0.72,-14.84,91,1.98,73.9929
7452,14.70,13.76,174,3013,38.00,5.78,0.00,5.22,5.49,0.31,0.00,0,-9.58,15.34,0.72,-14.84,91,1.96,73.5748
7526,14.70,13.76,174,3007,37.50,5.77,0.00,5.08,5.10,0.30,0.00,0,-9.72,15.12,0.72,-14.84,91,1.96,73.3856
7599,14.70,13.76,174,3017,37.50,5.80,0.00,5.08,5.10,0.30,0.00,0,-9.72,14.94,0.72,-14.84,91,1.94,73.3276
7672,14.81,13.76,174,3008,37.50,5.79,0.00,5.08,5.10,0.29,0.00,0,-9.72,14.73,0.70,-14.84,91,1.94,73.1323
7745,14.81,13.84,174,3020,37.50,5.78,0.00,4.93,5.10,0.29,0.00,0,-9.87,14.73,0.70,-14.84,91,1.92,73.0103
7818,14.81,13.76,174,3030,37.50,5.80,0.00,4.93,4.71,0.30,0.00,0,-9.87,14.50,0.70,-14.84,91,1.94,73.1354
7892,14.81,13.84,174,3004,37.50,5.82,0.00,4.93,4.71,0.29,0.00,0,-9.87,14.50,0.70,-14.84,91,1.92,73.0621
7964,14.81,13.76,174,3002,37.00,5.76,0.00,4.93,4.71,0.29,0.00,0,-9.87,14.37,0.70,-14.84,91,1.92,73.0103
8037,14.59,13.84,174,3016,37.00,5.15,0.00,4.79,4.31,0.28,0.00,0,-10.01,13.55,0.68,-14.84,91,1.88,73.0774
8110,14.47,13.84,174,2990,36.50,5.10,0.00,4.64,3.92,0.27,0.00,0,-10.16,13.20,0.66,-14.84,91,1.88,72.9492
8183,14.47,13.84,174,2986,36.50,5.10,0.00,4.64,3.53,0.26,0.00,0,-10.16,12.96,0.66,-14.84,91,1.86,72.9187
8256,14.70,13.84,174,2981,36.50,5.10,0.00,4.50,3.14,0.25,0.00,0,-10.30,12.41,0.66,-14.84,91,1.86,72.9370
8330,14.70,13.84,174,2969,36.50,5.09,0.00,4.35,3.14,0.25,0.00,0,-10.45,12.36,0.64,-14.84,91,1.84,72.8485
8403,14.81,13.84,174,2974,36.00,5.07,0.00,4.35,3.14,0.25,0.00,0,-10.45,11.99,0.64,-14.84,91,1.82,72.8180
8476,14.81,13.84,174,3002,36.00,5.08,0.00,4.21,3.14,0.24,0.00,0,-10.45,11.82,0.64,-14.84,91,1.82,73.0103
8549,14.93,13.84,174,2986,36.00,4.48,0.00,4.21,3.14,0.24,0.00,0,-10.59,11.99,0.64,-14.84,91,1.82,72.8973
8622,14.93,13.84,174,2969,36.00,5.07,0.00,4.21,2.75,0.24,0.00,0,-10.59,11.77,0.64,-14.84,91,1.82,72.9126
8697,14.81,13.84,174,2965,35.50,4.43,0.00,4.21,2.75,0.24,0.00,0,-10.59,11.66,0.64,-14.84,91,1.80,72.8912
8768,14.59,13.92,174,2982,35.50,4.45,0.00,4.21,2.75,0.23,0.00,0,-10.59,11.55,0.64,-14.84,91,1.80,72.8485
8842,14.47,13.84,174,2976,36.00,4.44,0.00,4.06,2.75,0.23,0.00,0,-10.74,11.55,0.64,-14.84,91,1.80,72.8851
8915,14.59,13.84,174,2952,35.50,4.42,0.00,4.21,2.75,0.23,0.00,0,-10.59,11.40,0.64,-14.84,91,1.78,72.7783
8988,14.59,13.84,174,2975,35.50,4.41,0.00,4.06,2.75,0.23,0.00,0,-10.74,11.33,0.62,-14.84,91,1.80,72.7783
9060,14.59,13.84,174,2962,35.50,4.44,0.00,3.92,0.00,0.23,0.00,0,-10.74,9.57,0.54,-14.84,91,1.68,72.8485
9133,14.59,13.84,174,2938,34.00,0.00,0.00,3.63,0.00,0.18,0.00,0,-10.88,8.35,0.54,-14.84,91,1.62,72.6685
9207,14.59,13.84,174,2938,30.00,0.00,0.00,3.63,0.00,0.17,0.00,0,-11.17,8.18,0.54,-14.84,91,1.62,72.7386
9280,15.16,13.84,174,2930,27.50,0.00,0.00,3.48,0.00,0.17,0.00,0,-11.32,8.14,0.54,-14.84,91,1.62,72.6501
9353,17.11,13.84,174,2935,25.50,0.00,0.00,3.63,0.00,0.17,0.00,0,-11.17,8.31,0.54,-14.84,91,1.62,72.6227
9426,22.16,13.84,174,2933,23.50,0.00,0.00,3.63,0.00,0.17,0.00,0,-11.17,8.39,0.54,-14.84,91,1.64,72.6501
9498,25.38,13.84,174,2909,21.00,0.00,0.00,3.63,0.00,0.17,0.00,0,-11.17,8.36,0.54,-14.84,91,1.62,72.5372
9573,25.38,13.84,174,2902,18.50,0.00,0.00,3.63,0.00,0.17,0.00,0,-11.17,8.39,0.54,-14.84,91,1.64,72.6013
9645,25.38,13.84,174,2912,17.50,0.00,0.00,3.63,0.00,0.17,0.00,0,-11.17,8.44,0.54,-14.84,91,1.64,72.4945
9718,24.35,13.84,174,2902,17.50,0.00,0.00,3.63,0.00,0.18,0.00,0,-11.17,8.44,0.54,-14.84,91,1.64,72.5311
9791,23.89,13.84,174,2896,17.50,0.00,0.00,3.63,0.00,0.17,0.00,0,-11.17,8.56,0.54,-14.84,91,1.62,72.4152
9864,23.77,13.84,174,2877,17.50,0.00,0.00,3.63,0.00,0.18,0.00,0,-11.17,8.47,0.54,-14.84,91,1.64,72.4609
9938,23.89,13.84,174,2843,17.50,0.00,0.00,3.63,0.00,0.19,0.00,0,-11.17,8.99,0.54,-14.84,91,1.66,72.2137
10011,23.89,13.84,174,2872,17.50,0.00,0.00,3.63,0.00,0.19,0.00,0,-11.17,9.13,0.54,-14.84,91,1.66,72.4335
10085,23.77,13.84,174,2843,17.50,0.00,0.00,3.63,0.00,0.18,0.00,0,-11.17,8.64,0.54,-14.84,91,1.64,72.1497
10159,23.77,13.84,174,2848,17.50,0.00,0.00,3.63,0.00,0.18,0.00,0,-11.17,8.56,0.54,-14.84,91,1.64,72.3114
10230,23.54,13.84,174,2835,17.50,0.00,0.00,3.63,0.00,0.18,0.00,0,-11.17,8.56,0.54,-14.84,91,1.64,72.1130
10303,23.89,13.84,174,2840,17.50,0.00,0.00,3.63,0.00,0.18,0.00,0,-11.17,8.56,0.54,-14.84,91,1.64,72.2076
10376,23.77,13.76,174,2820,17.50,0.00,0.00,3.63,0.00,0.18,0.00,0,-11.17,8.47,0.54,-14.84,91,1.64,72.0520
10449,23.77,13.84,174,2809,17.50,0.00,0.00,3.63,0.00,0.18,0.00,0,-11.17,8.64,0.54,-14.84,91,1.64,72.1130
10523,23.89,13.76,174,2791,17.50,0.00,0.00,3.63,0.00,0.19,0.00,0,-11.17,8.65,0.54,-14.84,91,1.64,72.0337
10596,23.77,13.84,174,2789,17.50,0.00,0.00,3.63,0.00,0.19,0.00,0,-11.17,8.64,0.54,-14.84,91,1.64,71.9727
10668,23.89,13.84,174,2782,17.00,0.00,0.00,3.63,0.00,0.19,0.00,0,-11.17,8.69,0.54,-14.84,91,1.64,71.9696
10742,23.89,13.84,174,2768,17.00,0.00,0.00,3.63,0.00,0.19,0.00,0,-11.17,8.65,0.54,-14.84,91,1.64,71.9269
10814,23.77,13.76,174,2753,17.00,0.00,0.00,3.63,0.00,0.19,0.00,0,-11.17,8.65,0.54,-14.84,91,1.64,71.9269
10887,23.89,13.76,174,2753,17.00,0.00,0.00,3.48,0.00,0.19,0.00,0,-11.17,8.61,0.54,-14.84,91,1.64,71.9086
10961,23.54,13.84,174,2738,17.00,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,8.47,0.54,-14.84,91,1.64,71.8567
11034,23.77,13.76,174,2737,17.00,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,8.39,0.54,-14.84,91,1.62,71.8719
11106,23.77,13.84,174,2724,17.00,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,8.31,0.54,-14.84,91,1.62,71.8445
11180,23.54,13.76,174,2718,17.00,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,8.23,0.54,-14.84,91,1.62,71.7957
11253,23.77,13.84,174,2710,16.50,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,8.22,0.54,-14.84,91,1.62,71.8079
11327,23.54,13.84,174,2704,16.50,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,8.11,0.54,-14.84,91,1.62,71.7804
11399,23.77,13.84,174,2688,16.50,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,8.14,0.54,-14.84,91,1.60,71.7377
11472,23.89,13.76,174,2682,16.50,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,8.14,0.54,-14.84,91,1.62,71.7102
11546,23.66,13.76,174,2686,16.50,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,7.98,0.54,-14.84,91,1.60,71.7224
11619,23.66,13.84,174,2676,16.50,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,8.06,0.54,-14.84,91,1.60,71.6675
11691,24.00,13.84,174,2668,16.50,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,8.03,0.54,-14.84,91,1.60,71.6461
11764,23.77,13.84,174,2662,16.50,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,7.89,0.54,-14.84,91,1.60,71.6309
11837,23.66,13.84,174,2654,16.50,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,7.89,0.54,-14.84,91,1.60,71.6339
11911,23.66,13.76,174,2640,16.50,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,7.90,0.54,-14.84,91,1.60,71.6187
11983,23.77,13.84,174,2628,16.50,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,7.89,0.54,-14.84,91,1.60,71.5576
12056,23.89,13.84,174,2612,16.50,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,7.90,0.54,-14.84,91,1.60,71.5393
12129,23.66,13.76,174,2612,16.50,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,7.74,0.54,-14.84,91,1.58,71.5302
12203,23.77,13.84,174,2610,16.50,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,7.70,0.54,-14.84,91,1.60,71.5332
12276,23.66,13.84,174,2598,16.50,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,7.65,0.54,-14.84,91,1.58,71.5027
12349,23.66,13.76,174,2586,16.50,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,7.66,0.54,-14.84,91,1.58,71.4905
12421,24.00,13.84,174,2573,16.50,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,7.54,0.54,-14.84,91,1.58,71.4294
12496,24.00,13.84,174,2569,16.50,0.00,0.00,3.34,0.00,0.17,0.00,0,-11.46,7.54,0.54,-14.84,91,1.58,71.4203
12568,23.77,13.76,174,2574,16.50,0.00,0.00,3.34,0.00,0.18,0.00,0,-11.46,7.50,0.54,-14.84,91,1.58,71.3959
12641,24.00,13.84,174,2612,16.00,0.00,0.00,3.48,0.00,0.18,0.00,0,-11.32,7.62,0.56,-14.84,91,1.58,71.4020
12713,23.89,13.84,174,2540,16.00,0.00,0.00,3.48,1.18,0.19,0.00,0,-11.32,7.89,0.60,-14.84,91,1.60,71.3867
12786,23.77,13.76,174,2535,16.50,3.79,0.00,3.77,2.35,0.22,0.00,0,-11.17,8.78,0.62,-14.84,91,1.66,71.3654
12859,23.77,13.84,174,2546,18.00,3.79,0.00,4.06,3.14,0.25,0.00,0,-11.03,10.82,0.66,-14.84,91,1.78,71.3806
12932,23.77,13.76,174,2527,21.50,4.35,0.00,4.21,4.31,0.28,0.00,0,-10.74,12.26,0.68,-14.84,91,1.84,71.3440
13007,23.66,13.84,174,2532,30.00,4.86,0.00,4.35,4.71,0.30,0.00,0,-10.59,12.74,0.70,-14.84,91,1.86,71.3287
