Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Ignition Total Timing (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),Knock Count (Combined) (Knock Events),Manifold Relative Pressure (psi),Mass Airflow (g/s),Throttle Sensor Voltage (V),A/F Learning #1 (%),Intake Air Temperature (F),Mass Airflow Sensor Voltage (V),Volumetric Efficiency* (Load Multiplier)
1242,14.59,13.76,174,2378,35.50,7.63,0.00,8.71,10.98,0.62,0.00,0,-6.09,24.51,0.90,-14.84,91,2.24,82.2510
1315,14.81,13.68,174,2384,34.50,8.12,0.00,8.85,10.98,0.64,0.00,0,-6.09,25.48,0.90,-14.84,91,2.26,82.9193
1388,14.81,13.76,174,2372,34.50,8.14,0.00,9.14,11.37,0.66,0.00,0,-5.95,26.51,0.92,-14.84,91,2.28,83.1482
1463,14.70,13.76,174,2394,33.00,8.68,0.00,9.29,11.76,0.67,0.00,0,-5.66,27.23,0.94,-14.84,91,2.30,83.8104
1534,14.81,13.68,174,2378,32.50,8.62,0.00,9.58,12.16,0.70,0.00,0,-5.22,27.95,0.94,-14.84,91,2.32,84.5703
1608,14.59,13.68,174,2383,32.00,9.15,0.00,9.87,12.94,0.73,0.00,0,-4.93,28.91,0.96,-14.84,91,2.34,85.2997
1682,14.70,13.68,174,2388,31.50,9.17,0.00,10.16,13.33,0.74,0.00,0,-4.64,29.90,0.98,-14.84,91,2.36,86.1237
1755,14.59,13.68,174,2400,31.00,9.63,0.00,10.45,14.12,0.78,0.00,0,-4.35,30.77,1.00,-14.84,91,2.38,86.9049
1827,14.47,13.68,174,2393,30.00,9.73,0.00,11.17,14.90,0.82,0.00,0,-4.06,32.10,1.04,-14.84,91,2.42,88.0127
1899,14.59,13.68,174,2412,28.50,10.72,0.00,11.61,15.69,0.85,0.00,0,-3.63,34.88,1.06,-12.50,91,2.48,89.0533
1973,14.70,13.60,174,2412,28.50,11.32,0.00,12.04,16.08,0.89,0.00,0,-3.19,36.32,1.06,-12.50,91,2.50,89.9994
2046,14.47,13.68,174,2399,27.00,11.32,0.00,12.33,16.47,0.91,0.00,0,-2.76,37.05,1.08,-12.50,91,2.50,90.7654
2119,14.47,13.68,174,2420,26.50,11.36,0.00,12.48,16.86,0.92,0.00,0,-2.47,37.18,1.08,-12.50,91,2.52,91.4062
2192,14.47,13.68,174,2401,26.00,11.27,0.00,12.62,16.86,0.94,0.00,0,-2.18,37.53,1.10,-12.50,91,2.52,91.7999
2265,14.24,13.68,174,2408,26.00,11.82,0.00,12.91,16.86,0.94,0.00,0,-1.89,37.90,1.10,-12.50,91,2.52,92.1204
2338,14.70,13.68,174,2430,26.00,11.92,0.00,13.06,17.25,0.96,0.00,0,-1.74,38.17,1.10,-12.50,91,2.54,92.3584
2413,14.70,13.68,174,2431,25.50,11.80,0.00,13.20,17.25,0.97,0.00,0,-1.60,38.70,1.10,-12.50,91,2.54,92.5995
2485,14.59,13.68,174,2435,25.00,12.45,0.00,13.35,17.65,0.97,0.00,0,-1.45,39.93,1.10,-12.50,91,2.56,92.8101
2558,14.70,13.68,174,2431,25.00,12.47,0.00,13.49,17.65,0.99,0.00,0,-1.45,40.20,1.10,-12.50,91,2.58,92.9901
2631,14.59,13.60,174,2443,25.00,12.45,0.00,13.49,17.25,0.99,0.00,0,-1.31,40.07,1.08,-12.50,91,2.56,93.1396
2703,14.59,13.76,174,2441,25.00,12.51,0.00,13.06,12.55,0.97,0.00,0,-1.31,36.44,0.92,-12.50,91,2.46,92.9901
2777,14.47,13.68,174,2440,29.00,9.89,0.00,11.03,6.67,0.88,0.00,0,-1.74,26.21,0.72,-12.50,91,2.22,89.3463
2850,14.47,13.68,174,2439,33.50,7.28,0.00,9.00,1.96,0.67,0.00,0,-5.80,16.63,0.60,-14.84,91,1.84,83.2733
2924,12.86,13.68,174,2447,38.00,5.22,0.00,6.82,1.57,0.46,0.00,0,-7.98,9.74,0.60,-14.84,91,1.88,76.4648
2996,12.52,13.76,174,2444,38.00,4.67,0.00,5.95,1.57,0.39,0.00,0,-8.85,13.37,0.60,-14.06,91,1.98,73.2605
3069,12.86,13.68,174,2434,37.00,4.69,0.00,5.08,1.57,0.34,0.00,0,-9.72,14.51,0.60,-14.06,91,1.68,71.0602
3142,13.21,13.76,174,2400,36.00,4.15,0.00,4.35,1.57,0.32,0.00,0,-10.16,12.55,0.60,-14.06,91,1.96,71.0297
3215,13.55,13.76,174,2421,35.50,4.10,0.00,4.06,1.57,0.30,0.00,0,-10.45,8.78,0.60,-14.06,91,1.92,70.9930
3288,13.55,13.84,174,2452,35.00,3.61,0.00,3.92,1.57,0.27,0.00,0,-10.74,10.06,0.60,-14.06,91,1.56,71.1426
3361,13.44,13.76,174,2403,33.50,2.56,0.00,3.92,1.57,0.22,0.00,0,-10.88,8.99,0.60,-14.06,91,1.86,71.0388
3434,13.55,13.76,174,2454,35.50,5.24,0.00,3.77,1.57,0.29,0.00,0,-11.03,11.79,0.60,-14.06,91,1.60,71.1334
3509,13.78,13.76,174,2422,34.50,3.62,0.00,3.77,1.57,0.26,0.00,0,-11.03,9.66,0.60,-14.06,91,1.84,71.0510
3581,15.27,13.76,174,2424,34.50,4.14,0.00,3.77,1.57,0.26,0.00,0,-11.03,11.15,0.60,-14.06,91,1.64,71.0541
3654,14.36,13.76,174,2410,33.50,2.58,0.00,3.77,1.57,0.20,0.00,0,-11.03,7.75,0.60,-14.06,91,1.76,71.0754
3727,12.86,13.76,174,2420,35.00,4.63,0.00,3.77,1.57,0.21,0.00,0,-11.03,10.99,0.60,-14.06,91,1.66,71.0480
3800,13.44,13.76,174,2405,34.00,3.61,0.00,3.77,1.57,0.24,0.00,0,-11.03,9.26,0.60,-14.06,91,1.64,71.0449
3873,13.90,13.76,174,2407,34.00,4.10,0.00,3.77,1.57,0.22,0.00,0,-11.03,8.69,0.60,-14.06,91,1.64,71.0236
3945,13.78,13.76,174,2409,33.50,3.59,0.00,3.63,1.57,0.21,0.00,0,-11.03,8.31,0.60,-14.06,91,1.64,71.0205
4018,12.63,13.76,176,2412,33.50,3.60,0.00,3.63,1.57,0.21,0.00,0,-11.17,8.31,0.60,-14.06,91,1.64,71.0083
4093,12.52,13.84,176,2388,33.50,3.57,0.00,3.63,1.57,0.21,0.00,0,-11.17,8.31,0.60,-14.06,91,1.62,70.9656
4165,14.24,13.76,176,2407,33.50,3.59,0.00,3.63,3.14,0.21,0.00,0,-11.17,8.51,0.66,-14.06,91,1.66,70.9717
4238,15.04,13.76,176,2378,34.00,4.06,0.00,3.77,5.88,0.26,0.00,0,-11.03,9.92,0.74,-14.06,91,1.74,70.9747
4311,15.16,13.76,176,2406,36.00,5.60,0.00,4.50,7.06,0.35,0.00,0,-10.30,13.49,0.78,-14.06,91,1.90,70.9564
4384,14.93,13.76,176,2414,38.00,5.65,0.00,5.66,7.84,0.42,0.00,0,-9.72,15.81,0.80,-14.06,91,2.00,72.0947
4457,14.01,13.76,176,2424,38.00,6.18,0.00,6.24,8.63,0.46,0.00,0,-9.14,19.86,0.84,-14.06,91,2.12,73.9594
4530,12.98,13.76,176,2389,37.50,6.72,0.00,6.96,9.41,0.55,0.00,0,-8.56,21.68,0.86,-14.06,91,2.16,75.7935
4602,12.98,13.76,176,2390,37.00,6.63,0.00,7.40,10.59,0.56,0.00,0,-7.84,23.36,0.90,-14.84,91,2.22,77.9846
4676,13.78,13.76,176,2390,34.50,7.65,0.00,8.13,10.98,0.64,0.00,0,-7.40,25.37,0.90,-14.84,91,2.26,80.0385
4748,14.24,13.76,176,2379,34.00,8.12,0.00,8.42,11.37,0.65,0.00,0,-6.38,25.87,0.90,-14.84,91,2.28,81.5033
4821,14.70,13.76,176,2418,34.50,7.74,0.00,8.85,11.37,0.64,0.00,0,-5.95,25.67,0.90,-14.84,91,2.26,82.7209
4895,14.70,13.76,176,2362,33.50,8.02,0.00,8.85,11.37,0.68,0.00,0,-5.95,26.30,0.92,-14.84,91,2.28,82.9285
4969,15.04,13.76,176,2430,34.50,7.76,0.00,9.00,11.37,0.64,0.00,0,-5.80,25.87,0.92,-14.84,91,2.26,83.2947
5041,15.50,13.68,176,2402,33.00,8.08,0.00,9.14,11.37,0.66,0.00,0,-5.66,26.72,0.92,-14.84,91,2.28,83.8409
5115,15.62,13.76,176,2398,34.00,8.20,0.00,9.29,11.37,0.68,0.00,0,-5.66,26.82,0.92,-14.84,91,2.28,83.6884
5187,15.04,13.76,176,2398,33.50,8.19,0.00,9.29,11.37,0.67,0.00,0,-5.51,27.13,0.92,-14.84,91,2.28,84.0851
5261,15.27,13.76,176,2394,33.50,8.17,0.00,9.43,11.37,0.67,0.00,0,-5.51,26.82,0.92,-14.84,91,2.28,84.2285
5335,15.16,13.60,176,2399,33.50,8.70,0.00,9.43,11.37,0.68,0.00,0,-5.37,27.23,0.92,-14.84,91,2.30,84.2957
5407,15.04,13.76,176,2415,33.50,8.76,0.00,9.43,11.37,0.68,0.00,0,-5.37,27.13,0.92,-14.84,91,2.30,84.5337
5480,15.16,13.68,176,2387,33.00,8.66,0.00,9.43,11.37,0.69,0.00,0,-5.37,27.33,0.92,-14.84,91,2.30,84.5520
5554,14.93,13.76,176,2398,33.50,8.75,0.00,9.58,11.37,0.68,0.00,0,-5.22,27.33,0.92,-14.84,91,2.30,84.6222
5627,14.81,13.76,176,2401,33.00,8.69,0.00,9.58,11.37,0.68,0.00,0,-5.22,27.44,0.92,-14.84,91,2.30,84.6771
5699,14.93,13.68,176,2414,33.00,8.71,0.00,9.58,11.37,0.69,0.00,0,-5.22,27.65,0.92,-14.84,91,2.32,84.7382
5773,14.93,13.76,176,2407,33.00,8.75,0.00,9.58,11.37,0.69,0.00,0,-5.22,27.54,0.92,-14.84,91,2.30,84.8358
5846,14.81,13.68,176,2416,33.00,8.73,0.00,9.58,11.37,0.69,0.00,0,-5.22,27.44,0.92,-14.84,91,2.32,84.8877
5921,14.81,13.76,176,2418,33.00,8.77,0.00,9.58,11.37,0.69,0.00,0,-5.22,27.75,0.92,-14.84,91,2.32,84.9030
5993,14.70,13.68,176,2410,33.00,8.74,0.00,9.72,11.37,0.69,0.00,0,-5.08,27.86,0.92,-14.84,91,2.30,85.0220
6065,14.93,13.68,176,2427,33.50,8.80,0.00,9.72,11.37,0.68,0.00,0,-5.08,27.44,0.92,-14.84,91,2.30,85.0830
6139,14.70,13.68,176,2415,33.00,8.76,0.00,9.72,11.37,0.70,0.00,0,-5.08,27.86,0.92,-14.84,91,2.32,85.0281
6212,14.70,13.76,176,2423,33.00,8.79,0.00,9.72,11.37,0.68,0.00,0,-5.08,27.66,0.92,-14.84,91,2.30,85.0159
6284,14.81,13.68,176,2425,33.00,8.79,0.00,9.72,11.37,0.69,0.00,0,-5.08,27.95,0.92,-14.84,91,2.30,85.1929
6357,14.93,13.68,176,2420,33.00,8.79,0.00,9.72,11.37,0.69,0.00,0,-5.08,28.17,0.92,-14.84,91,2.32,85.0128
6430,14.70,13.76,176,2441,33.00,8.78,0.00,9.72,11.37,0.69,0.00,0,-5.08,27.86,0.92,-14.84,91,2.30,85.2264
6504,14.81,13.76,176,2415,33.00,8.76,0.00,9.72,11.37,0.70,0.00,0,-5.08,28.06,0.92,-14.84,91,2.32,85.1837
6576,14.81,13.76,176,2426,33.00,8.80,0.00,9.72,11.37,0.69,0.00,0,-5.08,28.17,0.92,-14.84,91,2.32,85.2386
6650,14.70,13.76,176,2441,33.50,8.85,0.00,9.72,11.37,0.68,0.00,0,-5.08,27.66,0.92,-14.84,91,2.32,85.2478
6722,14.81,13.68,176,2416,33.00,8.76,0.00,9.72,11.37,0.70,0.00,0,-5.08,28.06,0.92,-14.84,91,2.32,85.2692
6796,14.70,13.68,176,2440,33.00,8.84,0.00,9.72,11.37,0.68,0.00,0,-5.08,27.75,0.90,-14.84,91,2.32,85.3668
6868,14.81,13.76,176,2434,33.50,8.85,0.00,9.43,9.80,0.68,0.00,0,-5.08,27.55,0.86,-14.84,91,2.30,85.1044
6942,14.93,13.68,176,2434,34.00,8.31,0.00,8.71,8.63,0.64,0.00,0,-5.37,24.99,0.82,-14.84,91,2.24,83.6426
7015,14.59,13.76,176,2444,35.50,7.79,0.00,8.27,8.24,0.60,0.00,0,-6.09,21.59,0.80,-14.84,91,2.14,82.1594
7089,14.47,13.76,176,2444,36.50,7.30,0.00,7.84,7.45,0.56,0.00,0,-6.53,19.68,0.80,-14.84,91,2.10,80.5206
7161,14.24,13.76,176,2438,37.50,6.76,0.00,7.40,7.45,0.51,0.00,0,-6.96,18.87,0.78,-14.84,91,2.08,79.0619
7234,14.24,13.76,176,2455,38.00,6.28,0.00,7.25,7.45,0.48,0.00,0,-7.55,18.27,0.78,-14.84,91,2.06,78.0914
7309,14.59,13.84,176,2434,38.00,5.71,0.00,7.11,7.45,0.44,0.00,0,-7.69,18.04,0.78,-14.06,91,2.06,77.4231
7381,14.70,13.76,176,2432,38.00,6.23,0.00,6.96,7.06,0.44,0.00,0,-7.84,17.81,0.76,-14.06,91,2.06,76.9684
7454,14.93,13.76,176,2433,38.00,5.74,0.00,6.67,6.67,0.42,0.00,0,-8.13,17.29,0.76,-14.06,91,2.02,76.3214
7527,15.50,13.76,176,2437,38.00,5.71,0.00,6.38,5.88,0.41,0.00,0,-8.13,16.84,0.74,-14.06,91,2.02,75.7172
7599,15.50,13.76,176,2456,38.00,5.72,0.00,6.09,5.49,0.40,0.00,0,-8.42,14.73,0.72,-14.06,91,1.94,74.9268
7673,15.39,13.76,176,2422,38.00,5.76,0.00,5.80,5.49,0.36,0.00,0,-8.71,14.44,0.72,-14.06,91,1.94,74.0082
7746,14.93,13.76,176,2427,36.50,5.17,0.00,5.66,5.10,0.36,0.00,0,-9.00,14.14,0.72,-14.06,91,1.90,73.3795
7819,14.59,13.76,176,2451,36.50,5.23,0.00,5.51,5.10,0.34,0.00,0,-9.14,13.79,0.72,-14.06,91,1.90,72.8821
7892,14.70,13.76,176,2426,36.50,5.17,0.00,5.51,4.71,0.34,0.00,0,-9.29,13.79,0.70,-14.06,91,1.90,72.4792
7964,15.39,13.76,176,2427,36.00,5.18,0.00,5.37,3.92,0.33,0.00,0,-9.43,13.32,0.68,-14.06,91,1.88,72.1924
8038,15.16,13.76,176,2481,36.00,4.67,0.00,5.08,3.14,0.31,0.00,0,-9.72,11.82,0.64,-14.06,91,1.82,71.2891
8110,14.93,13.76,176,2414,35.50,4.64,0.00,4.93,1.96,0.29,0.00,0,-9.87,10.91,0.60,-14.06,91,1.76,71.0419
8184,14.70,13.76,176,2436,35.00,4.12,0.00,4.21,1.57,0.27,0.00,0,-10.30,9.78,0.60,-14.06,91,1.68,70.9961
8257,14.24,13.76,176,2425,34.00,4.16,0.00,3.92,1.18,0.24,0.00,0,-10.59,8.14,0.60,-14.06,91,1.62,71.0938
8330,13.90,13.76,176,2412,33.50,3.62,0.00,3.77,1.18,0.22,0.00,0,-10.88,8.11,0.58,-14.06,91,1.62,71.0022
8403,13.67,13.76,176,2438,33.50,3.60,0.00,3.63,1.18,0.20,0.00,0,-11.03,7.82,0.58,-14.06,91,1.60,71.0785
8476,13.78,13.76,176,2402,32.00,0.00,0.00,3.48,1.18,0.20,0.00,0,-11.17,7.89,0.58,-14.06,91,1.58,71.0022
8550,13.78,13.76,176,2432,29.50,0.00,0.00,3.48,0.78,0.19,0.00,0,-11.32,7.79,0.58,-14.06,91,1.58,71.0144
8622,15.27,13.76,176,2390,27.00,0.00,0.00,3.48,0.78,0.19,0.00,0,-11.32,7.49,0.58,-14.06,91,1.58,71.0449
8696,18.03,13.76,176,2406,26.00,0.00,0.00,3.48,0.39,0.19,0.00,0,-11.32,7.41,0.56,-14.06,91,1.58,70.9930
8768,17.80,13.76,176,2391,22.50,0.00,0.00,3.48,0.39,0.18,0.00,0,-11.32,7.24,0.56,-14.06,91,1.56,71.0510
8841,19.64,13.76,176,2408,20.50,0.00,0.00,3.48,0.39,0.17,0.00,0,-11.32,6.95,0.56,-14.06,91,1.52,70.9747
8914,22.97,13.68,176,2387,19.00,0.00,0.00,3.48,0.00,0.17,0.00,0,-11.32,6.73,0.56,-14.06,91,1.52,70.9991
8987,25.38,13.76,176,2390,16.50,0.00,0.00,3.48,0.00,0.17,0.00,0,-11.32,6.51,0.56,-14.06,91,1.50,71.0022
9061,25.38,13.68,176,2383,15.50,0.00,0.00,3.34,0.00,0.16,0.00,0,-11.32,6.48,0.54,-14.06,91,1.52,70.9564
9133,25.38,13.76,176,2378,15.50,0.00,0.00,3.34,0.00,0.16,0.00,0,-11.46,6.44,0.54,-14.06,91,1.50,70.9442
9206,23.77,13.76,176,2378,15.50,0.00,0.00,3.34,0.00,0.16,0.00,0,-11.46,6.22,0.54,-14.06,91,1.48,70.9167
9279,23.54,13.76,176,2384,15.50,0.00,0.00,3.34,0.00,0.15,0.00,0,-11.46,6.07,0.54,-14.06,91,1.48,70.9229
9354,23.66,13.76,176,2308,15.50,0.00,0.00,3.34,0.00,0.15,0.00,0,-11.46,6.07,0.54,-14.06,91,1.48,70.9167
9426,23.66,13.76,176,2360,15.50,0.00,0.00,3.34,0.00,0.15,0.00,0,-11.46,6.07,0.54,-14.06,91,1.48,70.9137
9499,23.77,13.76,176,2368,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.46,5.93,0.54,-14.06,91,1.48,70.9198
9572,23.54,13.76,176,2352,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,6.00,0.54,-14.06,91,1.48,70.9137
9646,23.54,13.60,176,2348,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,5.96,0.54,-14.06,91,1.46,70.9015
9718,23.77,13.68,176,2355,15.50,0.00,0.00,3.34,0.00,0.15,0.00,0,-11.61,5.93,0.54,-14.06,91,1.48,70.8496
9791,23.54,13.76,176,2335,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,5.85,0.54,-14.06,91,1.46,70.8344
9864,23.66,13.76,176,2344,15.50,0.00,0.00,3.34,0.00,0.15,0.00,0,-11.46,5.89,0.54,-14.06,91,1.48,70.8252
9937,23.89,13.76,176,2326,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,5.85,0.54,-14.06,91,1.46,70.8435
10010,24.00,13.76,176,2314,15.50,0.00,0.00,3.34,0.00,0.15,0.00,0,-11.46,5.76,0.54,-14.06,91,1.46,70.8038
10083,23.89,13.76,176,2305,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,5.72,0.54,-14.06,91,1.46,70.7764
10157,23.66,13.76,176,2293,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,5.65,0.54,-14.06,91,1.46,70.7428
10229,23.77,13.84,176,2284,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,5.58,0.54,-14.06,91,1.44,70.6879
10302,23.66,13.76,176,2270,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,5.65,0.54,-14.06,91,1.46,70.6757
10376,23.89,13.76,176,2259,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,5.65,0.54,-14.06,91,1.46,70.6451
10449,23.89,13.76,176,2243,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,5.65,0.54,-14.06,91,1.44,70.6207
10521,23.54,13.84,176,2243,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,5.65,0.54,-14.06,91,1.44,70.5841
10594,23.54,13.76,176,2226,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,5.62,0.54,-14.06,91,1.46,70.5627
10668,24.00,13.76,176,2212,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,5.65,0.54,-14.06,91,1.44,70.5505
10741,23.66,13.76,176,2200,15.50,0.00,0.00,3.34,0.00,0.15,0.00,0,-11.61,5.65,0.54,-14.06,91,1.44,70.5048
10815,23.66,13.76,176,2196,15.50,0.00,0.00,3.34,0.00,0.15,0.00,0,-11.46,5.65,0.54,-14.06,91,1.44,70.4712
10887,23.89,13.76,176,2178,15.50,0.00,0.00,3.34,0.00,0.16,0.00,0,-11.46,5.65,0.54,-14.06,91,1.46,70.4742
10960,23.89,13.76,176,2176,15.50,0.00,0.00,3.34,0.00,0.16,0.00,0,-11.46,5.65,0.54,-14.06,91,1.44,70.4254
11033,23.89,13.76,176,2169,15.50,0.00,0.00,3.34,0.00,0.16,0.00,0,-11.46,5.65,0.54,-14.06,91,1.44,70.4224
11106,23.66,13.76,176,2148,15.50,0.00,0.00,3.34,0.00,0.16,0.00,0,-11.46,5.65,0.54,-14.06,91,1.46,70.3827
11179,23.77,13.76,176,2151,15.50,0.00,0.00,3.34,0.00,0.16,0.00,0,-11.46,5.58,0.54,-14.06,91,1.44,70.3491
11252,23.66,13.76,176,2124,15.50,0.00,0.00,3.34,0.00,0.16,0.00,0,-11.46,5.58,0.54,-14.06,91,1.44,70.3461
11326,23.77,13.76,176,2126,15.50,0.00,0.00,3.34,0.00,0.16,0.00,0,-11.46,5.65,0.54,-14.06,91,1.44,70.2972
11399,23.89,13.76,176,2112,15.50,0.00,0.00,3.34,0.00,0.16,0.00,0,-11.46,5.65,0.54,-14.06,91,1.46,70.2972
11472,23.66,13.76,176,2098,15.50,0.00,0.00,3.34,0.00,0.16,0.00,0,-11.46,5.62,0.54,-14.06,91,1.44,70.2789
11545,23.77,13.84,176,2094,15.50,0.00,0.00,3.34,0.00,0.16,0.00,0,-11.46,5.62,0.54,-14.06,91,1.44,70.2057
11618,23.77,13.84,176,2092,15.50,0.00,0.00,3.34,0.00,0.16,0.00,0,-11.46,5.27,0.54,-14.06,91,1.42,70.2301
11691,23.89,13.76,176,2062,15.50,0.00,0.00,3.34,0.00,0.15,0.00,0,-11.46,4.93,0.54,-14.06,91,1.40,70.1569
11764,23.89,13.84,176,2059,15.50,0.00,0.00,3.34,0.00,0.14,0.00,0,-11.46,4.77,0.54,-14.06,93,1.38,70.1599
11837,23.54,13.76,176,2048,15.50,0.00,0.00,3.19,0.00,0.14,0.00,0,-11.61,4.77,0.54,-14.06,93,1.40,70.1141
11909,23.89,13.76,176,2090,15.50,0.00,0.00,3.19,0.00,0.14,0.00,0,-11.61,4.76,0.54,-14.06,93,1.40,70.1080
11983,23.66,13.76,176,2021,15.50,0.00,0.00,3.19,0.00,0.14,0.00,0,-11.61,4.70,0.54,-14.06,93,1.38,70.0592
12056,23.77,13.76,176,2006,15.50,0.00,0.00,3.19,0.00,0.14,0.00,0,-11.61,4.70,0.54,-14.06,93,1.38,70.0439
12130,23.77,13.76,176,2010,15.50,0.00,0.00,3.19,0.00,0.14,0.00,0,-11.61,4.70,0.54,-14.06,93,1.38,70.0134
12202,23.77,13.84,176,1997,15.50,0.00,0.00,3.19,0.00,0.14,0.00,0,-11.61,4.64,0.54,-14.06,93,1.38,70.0012
12276,23.77,13.76,176,1994,15.50,0.00,0.00,3.19,0.00,0.14,0.00,0,-11.61,4.74,0.54,-14.06,93,1.38,70.0012
12349,23.54,13.76,176,1975,15.50,0.00,0.00,3.19,0.00,0.14,0.00,0,-11.61,4.70,0.54,-14.06,93,1.38,70.0012
12421,23.54,13.76,176,1962,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,4.80,0.54,-14.06,93,1.40,70.0012
12494,23.54,13.76,176,1947,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,4.86,0.54,-14.06,93,1.40,70.0012
12567,23.77,13.76,176,1953,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,4.76,0.54,-14.06,93,1.38,70.0012
12640,23.66,13.76,176,1929,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,4.77,0.54,-14.06,93,1.40,70.0012
12713,23.77,13.84,176,1935,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,4.77,0.54,-14.06,93,1.40,70.0012
12787,23.77,13.68,176,1914,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,4.74,0.54,-14.06,93,1.38,70.0012
12860,23.54,13.76,176,1905,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,4.68,0.54,-14.06,93,1.38,70.0012
12932,23.89,13.76,176,1894,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,4.70,0.54,-14.06,93,1.38,70.0012
13005,23.43,13.76,176,1887,15.50,0.00,0.00,3.19,0.00,0.15,0.00,0,-11.61,4.70,0.54,-14.06,93,1.38,70.0012
