Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (C),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Manifold Relative Pressure (psi)
4564,14.81,14.24,28,0.27,1398,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
4630,14.81,14.32,28,0.27,1402,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
4696,14.81,14.24,28,0.27,1397,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
4763,14.81,14.24,28,0.27,1404,33.33,12.50,2.70,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
4828,14.81,14.24,28,0.27,1395,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
4894,14.93,14.24,28,0.27,1401,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
4961,14.93,14.24,28,0.27,1392,33.33,13.50,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
5026,14.93,14.32,28,0.27,1403,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
5093,14.81,14.24,28,0.27,1396,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
5160,14.81,14.32,28,0.27,1403,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
5225,14.81,14.24,28,0.27,1394,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
5292,14.81,14.24,28,0.27,1398,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
5359,14.81,14.24,28,0.27,1402,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
5424,14.81,14.32,28,0.27,1395,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
5492,14.81,14.24,28,0.27,1402,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
5558,14.81,14.32,28,0.27,1396,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
5623,14.81,14.24,28,0.27,1402,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
5688,14.81,14.32,28,0.27,1397,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
5755,14.81,14.24,28,0.27,1401,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
5821,14.70,14.32,28,0.27,1394,33.33,13.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
5887,14.70,14.24,28,0.27,1402,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
5954,14.81,14.24,28,0.27,1394,33.33,13.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
6020,14.81,14.24,28,0.27,1400,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
6086,14.81,14.24,28,0.26,1394,33.33,13.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
6152,14.81,14.24,28,0.26,1403,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
6218,14.81,14.24,28,0.26,1399,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
6285,14.81,14.32,28,0.26,1403,33.33,12.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
6352,14.81,14.24,28,0.26,1397,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
6417,14.93,14.32,28,0.27,1398,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
6486,14.93,14.32,28,0.27,1398,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
6551,14.93,14.32,28,0.26,1394,33.33,13.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
6618,14.93,14.32,28,0.27,1402,33.33,12.50,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
6684,14.81,14.32,28,0.26,1392,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
6748,14.93,14.32,28,0.27,1396,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
6813,14.93,14.32,28,0.27,1391,33.33,14.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
6879,15.04,14.32,28,0.27,1393,33.33,13.50,2.66,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
6946,15.04,14.32,28,0.26,1388,33.33,14.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
7012,14.93,14.32,28,0.27,1396,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
7078,14.93,14.32,28,0.27,1392,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
7144,14.93,14.24,28,0.27,1396,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
7211,14.93,14.24,28,0.27,1390,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
7277,14.81,14.24,28,0.27,1398,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
7342,14.81,14.24,28,0.26,1390,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
7409,14.93,14.24,28,0.27,1394,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
7476,14.81,14.24,28,0.26,1393,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
7542,14.81,14.24,28,0.27,1401,33.33,12.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
7608,14.81,14.32,28,0.26,1394,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
7673,14.81,14.24,28,0.27,1392,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
7740,14.81,14.24,28,0.26,1399,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
7806,14.93,14.24,28,0.26,1399,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
7872,14.81,14.32,28,0.27,1392,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
7939,14.81,14.24,28,0.26,1400,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
8007,14.81,14.24,28,0.27,1394,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
8071,14.81,14.24,28,0.26,1398,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
8137,14.81,14.32,28,0.27,1394,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
8203,14.93,14.24,28,0.26,1399,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
8269,14.81,14.32,28,0.27,1391,33.33,13.50,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
8335,14.81,14.24,28,0.26,1398,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
8403,14.81,14.32,28,0.27,1393,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
8468,14.81,14.24,28,0.27,1401,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
8535,14.81,14.24,28,0.27,1390,33.33,13.50,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
8601,14.81,14.24,28,0.26,1398,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
8666,14.81,14.24,28,0.27,1392,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
8733,14.81,14.24,28,0.26,1399,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
8798,14.93,14.24,28,0.27,1388,33.33,13.50,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
8865,14.81,14.24,28,0.26,1397,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
8931,14.81,14.32,28,0.27,1392,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
8998,14.81,14.24,28,0.26,1398,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
9063,14.81,14.24,28,0.27,1394,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
9131,14.81,14.24,28,0.27,1394,33.33,12.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
9197,14.70,14.32,28,0.26,1400,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
9263,14.81,14.24,28,0.26,1393,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
9328,14.70,14.24,28,0.26,1401,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
9395,14.70,14.24,28,0.27,1394,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
9460,14.81,14.32,28,0.26,1402,33.33,12.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
9527,14.81,14.32,28,0.26,1397,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
9593,14.81,14.32,28,0.26,1400,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
9659,14.81,14.32,28,0.27,1394,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
9723,14.81,14.24,29,0.26,1399,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
9792,14.81,14.32,29,0.27,1390,33.33,13.50,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
9857,14.93,14.24,29,0.26,1396,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
9925,14.93,14.32,29,0.27,1388,33.33,14.00,2.66,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
9989,14.93,14.24,29,0.26,1392,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
10057,14.93,14.32,29,0.27,1383,33.33,14.00,2.66,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
10121,14.81,14.24,29,0.26,1391,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
10188,14.93,14.32,29,0.27,1386,33.33,13.50,2.66,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
10254,14.93,14.24,29,0.26,1395,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
10320,14.93,14.32,29,0.27,1390,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
10387,14.93,14.24,29,0.26,1396,33.33,12.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
10453,14.93,14.24,29,0.26,1390,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
10519,14.93,14.24,29,0.26,1398,33.33,12.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
10585,14.93,14.24,29,0.26,1400,33.33,13.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
10652,14.93,14.24,29,0.26,1390,33.33,12.50,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
10717,14.93,14.24,29,0.27,1396,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
10784,14.93,14.32,29,0.26,1387,33.33,13.50,2.66,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
10850,14.81,14.24,29,0.26,1395,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
10916,14.81,14.24,29,0.27,1390,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
10983,14.81,14.24,29,0.26,1396,33.33,12.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
11048,14.81,14.32,29,0.26,1393,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
11115,14.81,14.24,29,0.26,1398,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
11181,14.81,14.32,29,0.26,1394,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
11248,14.81,14.24,29,0.26,1397,33.33,12.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
11313,14.93,14.24,29,0.26,1391,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
11379,14.81,14.24,29,0.26,1399,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
11445,14.81,14.24,29,0.27,1394,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
11511,14.81,14.24,29,0.27,1397,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
11577,14.81,14.24,29,0.26,1388,33.33,13.50,2.66,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
11644,14.93,14.24,29,0.26,1394,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
11710,14.81,14.24,29,0.26,1389,33.33,13.50,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
11777,14.81,14.24,29,0.26,1396,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
11843,14.81,14.24,29,0.26,1392,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
11909,14.93,14.24,29,0.26,1399,33.33,12.50,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
11976,14.93,14.24,29,0.26,1391,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
12041,14.93,14.24,29,0.26,1390,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
12107,14.81,14.24,29,0.27,1398,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
12173,14.81,14.24,29,0.26,1392,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
12239,14.81,14.32,29,0.26,1396,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
12306,14.81,14.24,29,0.26,1388,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
12372,14.81,14.32,29,0.26,1394,33.33,13.00,2.66,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
12438,14.93,14.24,29,0.26,1386,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
12505,14.81,14.32,29,0.26,1395,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
12571,14.81,14.24,29,0.26,1390,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
12637,14.81,14.24,29,0.27,1398,33.33,12.50,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
12703,14.93,14.24,29,0.26,1392,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
12768,14.81,14.32,29,0.26,1398,33.33,12.50,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
12835,14.81,14.24,29,0.26,1389,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
12901,14.81,14.24,29,0.26,1394,33.33,13.00,2.66,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
12968,14.81,14.24,29,0.26,1388,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
13033,14.81,14.24,29,0.26,1394,33.33,13.00,2.66,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
13099,14.93,14.32,29,0.26,1387,33.33,13.50,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
13166,14.93,14.24,29,0.27,1392,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
13233,14.93,14.32,29,0.26,1390,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
13298,14.93,14.32,29,0.26,1396,33.33,12.50,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
13364,14.93,14.32,29,0.26,1390,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
13431,14.93,14.24,29,0.27,1395,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
13496,14.93,14.24,29,0.26,1389,33.33,13.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
13562,14.93,14.24,29,0.26,1396,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
13629,14.93,14.32,29,0.26,1396,33.33,13.50,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
13697,14.81,14.24,29,0.26,1390,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
13761,14.81,14.24,29,0.27,1396,33.33,13.00,2.66,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
13828,14.81,14.32,29,0.26,1386,33.33,14.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
13894,14.93,14.32,29,0.27,1394,33.33,13.00,2.66,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
13960,14.81,14.32,29,0.26,1388,33.33,13.50,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
14027,14.93,14.32,29,0.26,1386,33.33,13.50,2.66,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
14092,14.93,14.24,29,0.26,1397,33.33,12.50,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
14159,14.81,14.32,29,0.26,1393,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
14226,14.93,14.24,29,0.26,1400,33.33,12.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
14290,14.81,14.32,29,0.26,1393,33.33,13.00,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
14357,14.81,14.24,29,0.26,1402,33.33,12.00,2.69,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
14424,14.81,14.24,29,0.26,1393,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
14490,14.81,14.24,29,0.26,1398,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
14556,14.81,14.24,29,0.26,1389,33.33,13.50,2.67,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
14622,14.81,14.24,29,0.26,1396,33.33,13.00,2.68,21,0.00,4.93,0.00,0,0.00,0.00,-9.87
