Time (msec),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Knock Count (Combined) (Knock Events),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Volumetric Efficiency* (Load Multiplier)
3212,-7.81,14.70,13.68,181,0.29,874,0.00,16.50,1.49,115,0.00,0,4.64,-10.01,4.15,1.32,0.00,0.54,65.8112
3285,-7.81,14.93,13.60,181,0.29,882,0.00,15.50,1.69,115,0.00,0,4.64,-10.01,4.26,1.32,0.00,0.54,65.8142
3358,-7.81,14.81,13.52,181,0.29,888,0.00,14.50,1.69,115,0.00,0,4.64,-9.87,4.26,1.32,0.00,0.54,65.8844
3432,-7.81,14.81,13.60,181,0.29,885,0.00,15.00,1.52,115,0.00,0,4.79,-9.87,4.18,1.30,0.00,0.54,65.8508
3504,-7.81,14.81,13.60,181,0.28,892,0.00,15.00,1.51,115,0.00,0,4.79,-9.87,4.15,1.30,0.00,0.54,65.7318
3577,-7.81,14.81,13.60,181,0.28,873,0.00,16.00,1.49,115,0.00,0,4.79,-9.87,4.13,1.30,0.00,0.54,65.7776
3649,-7.81,14.81,13.60,181,0.28,878,0.00,15.50,1.50,115,0.00,0,4.93,-9.72,4.10,1.32,0.00,0.54,65.7684
3722,-7.81,14.93,13.68,181,0.28,877,0.00,15.50,1.50,115,0.00,0,4.93,-9.72,4.18,1.32,0.00,0.54,65.8386
3796,-7.81,14.70,13.68,181,0.29,884,0.00,15.00,1.51,115,0.00,0,4.93,-9.72,4.18,1.34,0.00,0.54,65.7623
3870,-7.81,14.93,13.68,181,0.28,888,0.00,14.00,1.50,115,0.00,0,4.93,-9.72,4.18,1.34,0.00,0.54,65.8722
3942,-7.81,14.93,13.68,181,0.28,888,0.00,14.50,1.51,115,0.00,0,4.93,-9.87,4.18,1.34,0.00,0.54,65.9271
4017,-7.81,15.16,13.68,181,0.28,890,0.00,14.00,1.51,115,0.00,0,4.79,-9.87,4.18,1.32,0.00,0.54,65.9210
4088,-7.81,15.39,13.68,181,0.28,880,0.00,15.50,1.52,115,0.00,0,4.79,-9.87,4.21,1.32,0.00,0.54,65.8813
4161,-7.81,15.39,13.68,181,0.29,888,0.00,14.50,1.71,115,0.00,0,4.79,-9.87,4.24,1.32,0.00,0.54,65.9241
4233,-7.81,15.62,13.68,181,0.29,883,0.00,15.00,1.70,115,0.00,0,4.79,-9.87,4.24,1.30,0.00,0.54,65.9302
4307,-7.81,15.50,13.68,181,0.29,894,0.00,14.00,1.72,115,0.00,0,4.79,-9.87,4.26,1.32,0.00,0.54,66.0065
4380,-7.81,15.73,13.68,181,0.28,894,0.00,14.00,1.72,115,0.00,0,4.79,-9.87,4.24,1.30,0.00,0.54,65.9485
4453,-7.81,15.50,13.68,181,0.28,895,0.00,14.00,1.53,115,0.00,0,4.79,-9.87,4.18,1.30,0.00,0.54,66.0156
4526,-7.81,15.50,13.68,181,0.28,900,0.00,13.50,1.54,115,0.00,0,4.79,-9.87,4.18,1.30,0.00,0.54,66.0004
4599,-7.81,15.39,13.68,181,0.28,901,0.00,13.50,1.54,115,0.00,0,4.79,-9.87,4.18,1.30,0.00,0.54,66.0095
4673,-7.81,15.39,13.68,181,0.28,903,0.00,13.00,1.54,115,0.00,0,4.79,-9.87,4.15,1.30,0.00,0.54,66.0278
4745,-7.81,15.27,13.68,181,0.27,900,0.00,13.00,1.54,115,0.00,0,4.79,-9.87,4.15,1.30,0.00,0.54,66.0156
4818,-7.81,15.04,13.68,181,0.28,898,0.00,14.00,1.53,115,0.00,0,4.64,-10.01,4.18,1.30,0.00,0.54,65.9698
4891,-7.81,15.16,13.68,181,0.28,897,0.00,14.50,1.53,115,0.00,0,4.64,-10.01,4.18,1.30,0.00,0.54,65.8752
4965,-7.81,14.93,13.68,181,0.28,888,0.00,15.50,1.51,115,0.00,0,4.79,-9.87,4.18,1.32,0.00,0.54,65.9271
5037,-7.81,14.81,13.60,181,0.29,893,0.00,15.00,1.52,115,0.00,0,4.79,-9.87,4.21,1.32,0.00,0.54,65.9271
5109,-7.81,14.81,13.68,181,0.29,893,0.00,15.00,1.71,115,0.00,0,4.79,-9.87,4.24,1.34,0.00,0.54,65.9424
5182,-7.81,14.81,13.60,181,0.29,890,0.00,15.00,1.72,115,0.00,0,4.79,-9.87,4.24,1.34,0.00,0.54,65.8813
5259,-7.81,14.70,13.68,181,0.29,898,0.00,14.00,1.71,115,0.00,0,4.79,-9.87,4.24,1.34,0.00,0.54,65.9302
5329,-7.81,14.81,13.60,181,0.28,892,0.00,15.00,1.53,115,0.00,0,4.79,-9.87,4.21,1.34,0.00,0.54,65.8875
5402,-7.81,14.93,13.68,181,0.28,894,0.00,14.50,1.52,115,0.00,1,4.79,-9.87,4.21,1.34,0.00,0.54,65.8417
5474,-7.81,14.81,13.60,181,0.29,890,0.00,15.00,1.71,115,0.00,0,4.79,-9.87,4.24,1.32,0.00,0.54,65.9149
5547,-7.81,14.70,13.52,181,0.28,897,0.00,14.00,1.53,115,0.00,0,4.79,-9.87,4.24,1.32,0.00,0.54,65.8936
5620,-7.81,14.70,13.68,181,0.29,894,0.00,14.50,1.53,115,0.00,0,4.79,-9.87,4.24,1.32,0.00,0.54,65.9882
5694,-7.81,14.70,13.60,181,0.28,899,0.00,14.00,1.53,115,0.00,0,4.79,-10.01,4.18,1.30,0.00,0.54,66.0522
5767,-7.81,14.70,13.68,181,0.28,905,0.00,13.50,1.54,115,0.00,0,4.64,-10.01,4.18,1.32,0.00,0.54,66.0492
5841,-7.81,14.70,13.52,181,0.28,895,0.00,14.50,1.54,115,0.00,0,4.64,-10.01,4.18,1.30,0.00,0.54,65.9485
5912,-7.81,14.59,13.68,181,0.29,896,0.00,14.50,1.53,115,0.00,0,4.64,-10.01,4.18,1.30,0.00,0.54,65.9576
5986,-7.81,14.59,13.60,181,0.29,884,0.00,15.50,1.53,115,0.00,0,4.64,-10.01,4.24,1.30,0.00,0.54,65.8386
6058,-7.81,14.59,13.68,181,0.29,890,0.00,15.50,1.51,115,0.00,0,4.64,-9.87,4.24,1.30,0.00,0.54,65.8264
6132,-7.81,14.70,13.60,181,0.29,883,0.00,15.50,1.69,115,0.00,0,4.79,-9.87,4.29,1.32,0.00,0.54,65.8783
6204,-7.81,14.59,13.60,181,0.28,888,0.00,15.50,1.70,115,0.00,0,4.79,-9.87,4.29,1.32,0.00,0.54,65.8813
6278,-7.81,14.70,13.68,181,0.28,888,0.00,15.50,1.52,115,0.00,0,4.79,-9.87,4.24,1.32,0.00,0.54,65.9302
6350,-7.81,14.59,13.68,181,0.28,893,0.00,14.50,1.52,115,0.00,1,4.79,-10.01,4.24,1.32,0.00,0.54,65.8997
6423,-7.81,14.70,13.68,181,0.27,897,0.00,14.00,1.52,115,0.00,0,4.64,-9.87,4.05,1.34,0.00,0.54,66.0522
6496,-7.81,14.59,13.60,181,0.32,892,0.00,15.00,1.91,115,0.00,0,4.79,-9.72,4.57,1.40,0.00,0.54,65.9729
6569,-7.81,14.70,13.68,181,0.33,902,0.00,14.00,1.90,115,0.00,0,4.93,-9.58,5.00,1.42,0.00,0.54,66.2170
6643,-7.81,14.81,13.60,181,0.32,932,0.00,10.50,1.73,115,0.00,0,5.08,-9.58,5.03,1.42,0.00,0.54,66.5649
6716,-7.81,14.59,13.68,181,0.32,955,0.00,8.50,1.83,115,0.00,0,5.08,-9.58,5.03,1.42,0.00,0.54,66.8854
6789,-7.81,14.59,13.68,181,0.31,968,0.00,7.50,1.86,115,0.00,0,5.22,-9.43,4.99,1.40,0.00,0.54,66.6656
6861,-7.81,14.47,13.52,181,0.32,943,0.00,10.50,1.81,115,0.00,0,5.22,-9.43,4.94,1.40,0.00,0.54,66.2903
6935,-7.81,14.36,13.68,181,0.34,903,0.00,15.50,1.73,115,0.00,0,5.22,-9.43,4.97,1.40,0.00,0.54,66.1530
7008,-7.81,14.24,13.60,181,0.32,880,0.00,17.50,1.88,115,0.00,0,5.22,-9.43,5.00,1.38,0.00,0.54,66.0919
7080,-7.81,14.24,13.68,181,0.30,858,0.00,19.50,1.49,115,0.00,0,5.22,-9.58,4.35,1.32,0.00,0.54,65.7013
7153,-7.81,14.13,13.68,181,0.29,816,0.00,23.00,1.65,115,0.00,0,5.08,-9.58,4.05,1.32,0.00,0.54,65.1642
7226,-7.81,14.13,13.68,181,0.32,791,0.00,23.00,1.57,115,0.00,0,5.08,-9.58,4.18,1.34,0.00,0.54,65.0879
7299,-7.81,14.24,13.60,181,0.35,782,0.00,23.00,1.69,115,0.00,0,5.08,-9.43,4.55,1.34,0.00,0.54,65.2374
7372,-7.81,14.24,13.60,181,0.37,767,0.00,23.00,1.80,115,0.00,0,5.37,-9.29,4.71,1.36,0.00,0.54,65.4785
7446,-7.81,14.47,13.60,181,0.39,763,0.00,23.00,1.79,115,0.00,0,5.51,-9.14,4.92,1.38,0.00,0.54,65.8081
7518,-7.81,14.47,13.68,181,0.40,762,0.00,23.00,1.79,115,0.00,0,5.66,-9.00,5.01,1.40,0.00,0.54,66.1072
7592,-7.81,14.47,13.68,181,0.40,768,0.00,23.00,1.80,115,0.00,0,5.80,-8.85,5.15,1.42,0.00,0.54,66.3177
7665,-7.81,14.36,13.68,181,0.39,786,0.00,22.50,1.85,115,0.00,0,5.95,-8.56,5.15,1.40,0.00,0.54,66.6199
7738,-7.81,14.24,13.60,181,0.39,828,0.00,17.50,1.72,115,0.00,0,6.09,-8.56,5.21,1.40,0.00,0.54,66.9678
7810,-7.81,14.24,13.76,181,0.37,848,0.00,15.50,1.77,115,0.00,0,6.09,-8.56,5.21,1.42,0.00,0.54,67.2821
7883,-7.81,13.90,13.68,181,0.37,867,0.00,13.00,1.81,115,0.00,0,6.09,-8.56,5.30,1.44,0.00,0.54,67.3004
7959,-7.81,13.55,13.68,181,0.37,867,0.00,13.00,1.85,115,0.00,0,6.09,-8.56,5.27,1.44,0.00,0.54,67.3584
8030,-7.81,13.78,13.68,181,0.37,866,0.00,13.50,1.85,115,0.00,0,5.95,-8.71,5.30,1.42,0.00,0.54,67.0715
8102,-7.81,14.13,13.60,181,0.38,858,0.00,14.00,1.83,115,0.00,0,6.09,-8.56,5.40,1.42,0.00,0.54,67.2455
8176,-7.81,14.36,13.68,181,0.39,861,0.00,14.00,1.84,115,0.00,0,6.09,-8.56,5.52,1.42,0.00,0.54,67.2424
8249,-7.81,14.47,13.60,181,0.39,852,0.00,15.00,1.82,115,0.00,0,6.09,-8.42,5.56,1.44,0.00,0.54,67.5476
8322,-7.81,14.70,13.60,181,0.39,870,0.00,13.00,1.86,115,0.00,0,6.24,-8.42,5.69,1.44,0.00,0.54,67.7765
8394,-7.81,14.93,13.60,181,0.39,880,0.00,12.50,2.05,115,0.00,0,6.24,-8.42,5.76,1.46,0.00,0.54,67.8619
8467,-7.81,15.27,13.68,181,0.40,876,0.00,13.00,2.06,115,0.00,0,6.24,-8.42,5.85,1.48,0.00,0.54,67.9199
8541,-7.81,15.62,13.60,181,0.40,886,0.00,12.00,2.06,115,0.00,0,6.24,-8.42,5.85,1.48,0.00,0.54,68.0695
8613,-7.81,15.62,13.68,181,0.40,886,0.00,12.50,2.08,115,0.00,0,6.24,-8.42,5.85,1.48,0.00,0.54,68.0756
8686,-7.81,15.62,13.68,181,0.39,897,0.00,11.50,2.10,115,0.00,0,6.24,-8.42,5.85,1.46,0.00,0.54,68.1915
8764,-7.81,15.50,13.52,181,0.39,902,0.00,11.00,2.12,115,0.00,0,6.24,-8.42,5.82,1.46,0.00,0.54,68.2251
8832,-7.81,15.50,13.68,181,0.39,912,0.00,10.00,2.14,115,0.00,0,6.24,-8.42,5.85,1.46,0.00,0.54,68.1946
8906,-7.81,15.39,13.52,181,0.38,913,0.00,10.50,1.95,115,0.00,0,6.24,-8.42,5.72,1.46,0.00,0.54,68.1488
8979,-7.81,15.27,13.52,181,0.37,903,0.00,12.00,1.95,115,0.00,0,6.24,-8.42,5.72,1.46,0.00,0.54,67.9810
9052,-7.81,15.16,13.44,181,0.39,894,0.00,13.00,1.93,115,0.00,0,6.24,-8.42,5.82,1.46,0.00,0.54,67.8802
9125,-7.81,15.16,13.60,181,0.40,877,0.00,15.50,2.10,115,0.00,0,6.24,-8.42,5.85,1.46,0.00,0.54,67.8406
9198,-7.81,15.16,13.52,181,0.40,880,0.00,15.00,2.06,115,0.00,0,6.24,-8.42,5.94,1.46,0.00,0.54,67.9840
9271,-7.81,15.27,13.60,181,0.41,884,0.00,14.50,2.07,115,0.00,0,6.38,-8.27,5.98,1.46,0.00,0.54,68.1610
9344,-7.81,15.39,13.60,181,0.40,892,0.00,13.50,2.09,115,0.00,0,6.38,-8.27,5.98,1.46,0.00,0.54,68.3441
9417,-7.81,15.27,13.52,181,0.40,902,0.00,13.00,2.12,115,0.00,0,6.38,-8.27,5.98,1.46,0.00,0.54,68.4113
9490,-7.81,15.27,13.60,181,0.39,912,0.00,11.50,2.14,115,0.00,0,6.38,-8.27,5.94,1.46,0.00,0.54,68.4753
9562,-7.81,15.27,13.60,181,0.39,920,0.00,11.00,2.16,115,0.00,0,6.38,-8.42,5.91,1.44,0.00,0.54,68.3807
9635,-7.81,15.16,13.60,181,0.38,922,0.00,11.50,2.16,115,0.00,1,6.24,-8.42,5.82,1.44,0.00,0.54,68.3350
9708,-7.81,15.04,13.60,181,0.38,924,0.00,11.50,2.16,115,0.00,0,6.24,-8.42,5.82,1.44,0.00,0.54,68.3624
9782,-7.81,14.93,13.60,181,0.37,920,0.00,12.00,1.97,115,0.00,0,6.24,-8.42,5.78,1.44,0.00,0.54,68.2800
9854,-7.81,14.93,13.60,181,0.38,918,0.00,12.50,1.96,115,0.00,0,6.24,-8.42,5.85,1.44,0.00,0.54,68.2129
9928,-7.81,15.04,13.60,181,0.39,910,0.00,13.50,2.13,115,0.00,0,6.24,-8.42,5.88,1.46,0.00,0.54,68.1641
10001,-7.81,15.04,13.60,181,0.39,911,0.00,13.50,2.14,115,0.00,0,6.24,-8.42,5.91,1.46,0.00,0.54,68.3258
10073,-7.81,15.27,13.60,181,0.39,913,0.00,13.50,2.14,115,0.00,0,6.24,-8.42,5.91,1.46,0.00,0.54,68.3441
10147,-7.81,15.27,13.60,181,0.38,926,0.00,12.00,2.17,115,0.00,0,6.24,-8.42,5.91,1.46,0.00,0.54,68.4021
10220,-7.81,15.27,13.60,181,0.38,928,0.00,12.00,2.18,115,0.00,0,6.24,-8.42,5.88,1.46,0.00,0.54,68.3685
10293,-7.81,15.39,13.68,181,0.37,928,0.00,12.50,1.99,115,0.00,0,6.24,-8.42,5.78,1.44,0.00,0.54,68.3014
10366,-7.81,15.39,13.68,181,0.37,931,0.00,12.50,1.98,115,0.00,0,6.24,-8.42,5.72,1.44,0.00,0.54,68.3502
10439,-7.81,15.27,13.68,181,0.37,930,0.00,13.00,1.99,115,0.00,0,6.24,-8.42,5.72,1.44,0.00,0.54,68.2953
10512,-7.81,15.16,13.60,181,0.37,934,0.00,12.50,1.99,115,0.00,0,6.24,-8.42,5.76,1.46,0.00,0.54,68.3441
10585,-7.81,15.16,13.68,181,0.37,924,0.00,14.00,1.97,115,0.00,0,6.09,-8.56,5.76,1.46,0.00,0.54,68.1091
10658,-7.81,15.16,13.60,181,0.37,925,0.00,13.50,2.17,115,0.00,0,6.09,-8.56,5.78,1.46,0.00,0.54,68.0817
10732,-7.81,15.16,13.68,181,0.37,923,0.00,14.00,2.17,115,0.00,0,6.09,-8.56,5.78,1.46,0.00,0.54,68.1366
10804,-7.81,15.16,13.68,181,0.37,922,0.00,14.00,2.16,115,0.00,0,6.24,-8.56,5.82,1.46,0.00,0.54,68.1396
10878,-7.81,15.16,13.68,181,0.37,926,0.00,14.00,1.96,115,0.00,0,6.09,-8.56,5.72,1.46,0.00,0.54,68.1763
10949,-7.81,15.16,13.68,181,0.37,930,0.00,13.50,2.17,115,0.00,0,6.09,-8.56,5.79,1.46,0.00,0.54,68.2190
11023,-7.81,15.27,13.68,181,0.37,935,0.00,13.00,2.18,115,0.00,0,6.09,-8.56,5.76,1.46,0.00,0.54,68.3197
11096,-7.81,15.16,13.68,181,0.37,938,0.00,13.00,2.00,115,0.00,0,6.09,-8.56,5.72,1.46,0.00,0.54,68.3502
11168,-7.81,15.04,13.68,181,0.37,944,0.00,12.50,2.01,115,0.00,0,6.09,-8.56,5.76,1.46,0.00,0.54,68.2159
11242,-7.81,15.04,13.60,181,0.36,941,0.00,13.00,2.01,115,0.00,0,6.09,-8.56,5.69,1.44,0.00,0.54,68.1244
11315,-7.81,15.04,13.60,181,0.36,938,0.00,13.50,2.00,115,0.00,0,6.09,-8.56,5.69,1.44,0.00,0.54,68.1213
11388,-7.81,14.93,13.60,181,0.36,940,0.00,14.00,2.01,115,0.00,0,5.95,-8.71,5.69,1.44,0.00,0.54,68.0786
11460,-7.81,15.27,13.60,181,0.36,948,0.00,13.00,2.02,115,0.00,0,5.95,-8.71,5.69,1.44,0.00,0.54,68.1061
11533,-7.81,15.04,13.60,181,0.37,941,0.00,13.50,2.01,115,0.00,0,5.95,-8.71,5.72,1.44,0.00,0.54,68.1183
11607,-7.81,15.16,13.60,181,0.37,944,0.00,13.50,2.01,115,0.00,0,5.95,-8.71,5.72,1.44,0.00,0.54,68.1488
11680,-7.81,14.93,13.60,181,0.36,942,0.00,13.50,2.01,115,0.00,0,5.95,-8.71,5.69,1.44,0.00,0.54,68.0298
11752,-7.81,14.93,13.60,181,0.37,938,0.00,14.00,2.01,115,0.00,0,5.95,-8.71,5.72,1.44,0.00,0.54,68.0603
11826,-7.81,15.16,13.68,181,0.36,946,0.00,13.00,2.02,115,0.00,0,5.95,-8.71,5.65,1.44,0.00,0.54,68.1152
11899,-7.81,14.93,13.68,181,0.36,951,0.00,13.00,2.03,115,0.00,0,5.95,-8.71,5.65,1.44,0.00,0.54,68.1427
11971,-7.81,15.16,13.60,181,0.36,949,0.00,13.00,2.02,115,0.00,0,5.95,-8.71,5.63,1.44,0.00,0.54,68.0267
12044,-7.81,14.81,13.68,181,0.35,945,0.00,14.00,2.02,115,0.00,0,5.95,-8.71,5.56,1.44,0.00,0.54,68.0237
12117,-7.81,15.04,13.60,181,0.36,948,0.00,13.50,2.02,115,0.00,0,5.95,-8.71,5.52,1.44,0.00,0.54,67.9138
12190,-7.81,14.81,13.68,181,0.36,939,0.00,14.50,2.00,115,0.00,0,5.95,-8.71,5.59,1.46,0.00,0.54,67.8162
12264,-7.81,14.93,13.60,181,0.36,936,0.00,15.00,2.00,115,0.00,0,5.95,-8.71,5.59,1.44,0.00,0.54,67.8558
12337,-7.81,14.93,13.68,181,0.36,937,0.00,14.50,2.00,115,0.00,0,5.95,-8.71,5.59,1.44,0.00,0.54,67.8040
12411,-7.81,14.81,13.60,181,0.36,936,0.00,15.00,2.00,115,0.00,0,5.95,-8.71,5.63,1.44,0.00,0.54,67.9626
12482,-7.81,14.93,13.60,181,0.36,939,0.00,14.50,2.00,115,0.00,0,5.95,-8.71,5.63,1.44,0.00,0.54,67.9749
12555,-7.81,14.81,13.60,181,0.36,943,0.00,14.00,2.01,115,0.00,0,5.95,-8.71,5.59,1.44,0.00,0.54,68.0908
12629,-7.81,14.93,13.60,181,0.35,947,0.00,13.50,2.02,115,0.00,0,5.95,-8.71,5.50,1.42,0.00,0.54,68.0817
12702,-7.81,14.93,13.60,181,0.35,954,0.00,13.00,2.04,115,0.00,0,5.95,-8.85,5.50,1.42,0.00,0.54,67.9077
12775,-7.81,14.93,13.60,181,0.35,946,0.00,14.00,2.02,115,0.00,0,5.80,-8.71,5.46,1.44,0.39,0.58,67.9199
12847,-7.81,14.81,13.68,181,0.38,940,0.00,15.00,2.22,115,0.00,0,5.95,-8.71,5.76,1.46,1.18,0.60,68.0084
12920,-7.81,14.93,13.60,181,0.39,955,0.00,15.50,2.41,115,0.00,0,5.95,-8.56,6.33,1.50,2.75,0.64,68.4906
12994,-7.81,14.93,13.68,181,0.35,978,0.00,16.00,1.83,115,0.00,0,6.09,-8.71,5.59,1.44,3.14,0.64,68.5516
13067,-7.81,14.81,13.60,181,0.35,986,0.00,16.50,2.10,115,0.00,0,5.95,-8.71,5.78,1.46,3.14,0.66,68.5303
13139,-7.81,14.93,13.68,181,0.37,983,0.00,17.50,2.31,115,0.00,0,5.95,-8.71,6.01,1.48,3.53,0.66,68.6340
