Time (msec),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Knock Count (Combined) (Knock Events),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Volumetric Efficiency* (Load Multiplier)
1958,-3.91,14.59,13.76,167,0.34,889,0.00,14.00,1.90,106,0.00,0,5.95,-8.85,4.99,1.40,0.00,0.00,0.54,67.4500
2033,-3.91,14.59,13.76,167,0.33,894,0.00,13.50,1.90,106,0.00,0,5.95,-8.85,4.99,1.40,0.00,0.00,0.54,67.4652
2107,-3.91,14.59,13.84,167,0.33,889,0.00,14.00,1.91,106,0.00,0,5.95,-8.85,4.99,1.40,0.00,0.00,0.54,67.4622
2189,-3.91,14.59,13.84,167,0.33,894,0.00,13.50,1.90,106,0.00,0,5.95,-8.85,4.96,1.40,0.00,0.00,0.54,67.4408
2262,-3.91,14.59,13.76,167,0.35,886,0.00,14.00,1.89,106,0.00,0,5.95,-8.85,5.10,1.42,0.00,0.00,0.54,67.4347
2335,-3.91,14.70,13.76,167,0.36,859,0.00,14.00,2.02,106,0.00,0,5.95,-8.85,5.13,1.42,0.00,0.00,0.54,67.1295
2418,-3.91,14.59,13.68,167,0.37,857,0.00,17.00,2.01,106,0.00,0,6.09,-8.71,5.19,1.42,0.00,0.00,0.54,67.2302
2486,-3.91,14.59,13.76,167,0.37,862,0.00,16.50,2.02,106,0.00,0,6.09,-8.71,5.29,1.42,0.00,0.00,0.54,67.5262
2577,-3.91,14.70,13.76,167,0.37,868,0.00,15.50,2.04,106,0.00,0,6.24,-8.56,5.32,1.42,0.00,0.00,0.54,67.6941
2636,-3.91,14.70,13.76,167,0.37,870,0.00,15.50,2.06,106,0.00,0,6.24,-8.56,5.39,1.42,0.00,0.00,0.54,67.7917
2714,-3.91,14.59,13.76,167,0.36,878,0.00,14.00,2.07,106,0.00,0,6.24,-8.56,5.45,1.42,0.00,0.00,0.54,67.9352
2789,-3.91,14.59,13.68,167,0.36,897,0.00,13.50,2.10,106,0.00,0,6.24,-8.56,5.39,1.42,0.00,0.00,0.54,68.0603
2867,-3.91,14.59,13.60,167,0.36,906,0.00,12.50,2.13,106,0.00,0,6.24,-8.56,5.39,1.42,0.00,0.00,0.54,68.1244
2937,-3.91,14.47,13.68,167,0.36,901,0.00,11.50,2.11,106,0.00,0,6.24,-8.56,5.41,1.44,0.00,0.00,0.54,68.0634
3015,-3.91,14.59,13.76,167,0.37,892,0.00,13.00,2.09,106,0.00,0,6.24,-8.56,5.39,1.44,0.00,0.00,0.54,67.8894
3088,-3.91,14.47,13.68,167,0.39,876,0.00,14.50,2.05,106,0.00,0,6.38,-8.42,5.39,1.44,0.00,0.00,0.54,67.8680
3162,-3.91,14.59,13.76,167,0.40,873,0.00,15.00,2.05,106,0.00,0,6.38,-8.42,5.67,1.46,0.00,0.00,0.54,68.0237
3239,-3.91,14.70,13.76,167,0.40,877,0.00,14.50,2.25,106,0.00,0,6.53,-8.27,5.83,1.48,0.00,0.00,0.54,68.1976
3313,-3.91,14.59,13.60,167,0.39,886,0.00,14.00,2.08,106,0.00,0,6.53,-8.27,5.77,1.46,0.00,0.00,0.54,68.4570
3389,-3.91,14.81,13.68,167,0.36,894,0.00,12.00,2.10,106,0.00,0,6.53,-8.27,5.65,1.44,0.00,0.00,0.54,68.5638
3467,-3.91,14.70,13.60,167,0.36,902,0.00,11.50,2.12,106,0.00,0,6.53,-8.27,5.48,1.42,0.00,0.00,0.54,68.6493
3546,-3.91,14.81,13.76,167,0.36,904,0.00,11.50,2.10,106,0.00,0,6.53,-8.27,5.48,1.42,0.00,0.00,0.54,68.4570
3614,-3.91,14.70,13.60,167,0.37,896,0.00,12.50,2.11,106,0.00,0,6.53,-8.27,5.58,1.42,0.00,0.00,0.54,68.3777
3693,-3.91,14.59,13.76,167,0.39,898,0.00,12.00,2.10,106,0.00,0,6.53,-8.27,5.71,1.44,0.00,0.00,0.54,68.3411
3766,-3.91,14.70,13.76,167,0.38,897,0.00,12.50,2.10,106,0.00,0,6.53,-8.27,5.71,1.44,0.00,0.00,0.54,68.4967
3839,-3.91,14.81,13.68,167,0.38,903,0.00,12.50,2.12,106,0.00,0,6.53,-8.27,5.67,1.44,0.00,0.00,0.54,68.6707
3916,-3.91,14.93,13.68,167,0.37,913,0.00,10.50,2.14,106,0.00,0,6.53,-8.27,5.67,1.44,0.00,0.00,0.54,68.7897
3991,-3.91,14.81,13.68,167,0.36,912,0.00,11.50,2.14,106,0.00,0,6.53,-8.27,5.52,1.42,0.00,0.00,0.54,68.7500
4066,-3.91,15.04,13.76,167,0.36,914,0.00,11.00,2.14,106,0.00,0,6.53,-8.27,5.39,1.42,0.00,0.00,0.54,68.5364
4142,-3.91,15.16,13.68,167,0.37,910,0.00,12.00,2.14,106,0.00,0,6.53,-8.27,5.61,1.44,0.00,0.00,0.54,68.5486
4217,-3.91,14.81,13.76,167,0.37,912,0.00,12.00,2.15,106,0.00,0,6.53,-8.27,5.61,1.44,0.00,0.00,0.54,68.5150
4291,-3.91,15.04,13.76,167,0.37,924,0.00,12.00,2.17,106,0.00,0,6.53,-8.27,5.61,1.44,0.00,0.00,0.54,68.6249
4372,-3.91,14.93,13.68,167,0.37,916,0.00,11.50,2.15,106,0.00,0,6.53,-8.27,5.54,1.44,0.00,0.00,0.54,68.6646
4443,-3.91,15.16,13.76,167,0.37,910,0.00,12.50,2.14,106,0.00,0,6.53,-8.27,5.48,1.44,0.00,0.00,0.54,68.5608
4519,-3.91,14.93,13.76,167,0.37,904,0.00,13.00,2.12,106,0.00,0,6.53,-8.27,5.52,1.44,0.00,0.00,0.54,68.5211
4595,-3.91,15.04,13.76,167,0.37,907,0.00,13.00,2.14,106,0.00,0,6.53,-8.27,5.67,1.44,0.00,0.00,0.54,68.6279
4671,-3.91,14.93,13.76,167,0.37,911,0.00,12.50,2.14,106,0.00,0,6.53,-8.27,5.67,1.44,0.00,0.00,0.54,68.7012
4744,-3.91,14.93,13.76,167,0.36,912,0.00,12.50,2.15,106,0.00,0,6.53,-8.27,5.52,1.44,0.00,0.00,0.54,68.6737
4819,-3.91,15.04,13.76,167,0.36,928,0.00,11.50,2.18,106,0.00,0,6.53,-8.27,5.48,1.44,0.00,0.00,0.54,68.6707
4893,-3.91,14.81,13.76,167,0.35,934,0.00,11.50,2.19,106,0.00,0,6.38,-8.42,5.41,1.44,0.00,0.00,0.54,68.7317
4973,-3.91,15.04,13.76,167,0.35,930,0.00,11.00,2.18,106,0.00,0,6.38,-8.42,5.39,1.42,0.00,0.00,0.54,68.6615
5048,-3.91,14.81,13.76,167,0.36,918,0.00,12.50,2.15,106,0.00,0,6.38,-8.42,5.41,1.42,0.00,0.00,0.54,68.4875
5126,-3.91,14.81,13.76,167,0.37,915,0.00,13.00,2.15,106,0.00,0,6.38,-8.42,5.48,1.44,0.00,0.00,0.54,68.3594
5196,-3.91,14.81,13.76,167,0.36,916,0.00,13.00,2.18,106,0.00,0,6.38,-8.42,5.58,1.44,0.00,0.00,0.54,68.5150
5271,-3.91,14.70,13.76,167,0.36,933,0.00,11.50,2.19,106,0.00,0,6.38,-8.42,5.52,1.44,0.00,0.00,0.54,68.6951
5352,-3.91,14.93,13.76,167,0.35,938,0.00,11.00,2.20,106,0.00,0,6.38,-8.42,5.39,1.42,0.00,0.00,0.54,68.7225
5422,-3.91,14.81,13.76,167,0.34,937,0.00,11.00,2.00,106,0.00,0,6.38,-8.42,5.39,1.42,0.00,0.00,0.54,68.6737
5497,-3.91,14.93,13.76,167,0.36,944,0.00,10.50,2.01,106,0.00,0,6.24,-8.56,5.39,1.42,0.00,0.00,0.56,68.6523
5572,-3.91,14.81,13.76,167,0.36,941,0.00,11.00,2.22,106,0.00,0,6.24,-8.56,5.58,1.44,0.00,0.39,0.56,68.6157
5647,-3.91,14.81,13.76,167,0.38,948,0.00,10.50,2.22,106,0.00,0,6.38,-8.42,5.90,1.46,0.00,0.78,0.56,68.6829
5723,-3.91,15.16,13.76,167,0.38,945,0.00,10.50,2.24,106,0.00,0,6.38,-8.27,6.00,1.48,0.00,0.78,0.58,69.0063
5802,-3.91,14.93,13.76,167,0.41,957,0.00,10.00,2.25,106,0.00,0,6.53,-8.27,6.11,1.48,0.00,2.35,0.64,69.1437
5874,-3.91,15.04,13.76,167,0.46,974,0.00,14.00,2.91,106,0.00,0,6.67,-8.13,7.06,1.52,0.00,3.14,0.66,69.5557
5952,-3.91,14.93,13.76,167,0.48,998,0.00,17.50,2.98,106,0.00,0,6.96,-7.84,7.73,1.62,0.00,3.92,0.68,70.7520
6024,-3.91,15.04,13.76,167,0.51,1074,0.00,20.00,3.21,106,0.00,0,7.40,-7.40,8.69,1.66,0.00,5.10,0.72,72.5647
6101,-3.91,15.16,13.76,167,0.50,1140,0.00,23.00,3.74,106,0.00,0,7.55,-7.25,9.70,1.74,0.00,5.88,0.74,74.2645
6177,-3.91,14.36,13.76,167,0.48,1254,0.00,25.00,3.75,106,0.00,0,7.98,-6.82,10.98,1.76,0.00,5.88,0.74,75.5676
6250,-3.91,14.59,13.76,167,0.46,1352,0.00,27.00,4.06,106,0.00,0,8.13,-6.82,11.24,1.78,0.00,6.27,0.74,76.1993
6326,-3.91,14.70,13.76,167,0.44,1527,0.00,28.50,4.24,106,0.00,0,7.98,-6.82,11.38,1.78,0.00,6.27,0.74,76.6571
6403,-4.69,15.50,13.76,167,0.44,1586,0.00,29.50,4.40,106,0.00,0,7.69,-7.11,11.55,1.80,0.00,6.27,0.74,76.5961
6478,-6.25,16.08,13.76,167,0.43,1620,0.00,31.50,4.49,106,0.00,0,7.55,-7.25,11.65,1.80,0.00,6.27,0.74,76.3306
6555,-6.25,16.42,13.76,167,0.43,1638,0.00,32.00,4.50,106,0.00,0,7.40,-7.40,11.60,1.80,0.00,6.27,0.74,75.9338
6632,-6.25,15.85,13.76,167,0.44,1622,0.00,31.50,4.41,106,0.00,0,7.25,-7.55,11.71,1.80,0.00,6.27,0.74,75.6439
6702,-6.25,15.62,13.76,167,0.47,1591,0.00,31.00,4.33,106,0.00,0,7.25,-7.55,11.65,1.80,0.00,6.27,0.74,75.3448
6778,-6.25,15.16,13.76,167,0.48,1494,0.00,30.50,4.46,106,0.00,0,7.25,-7.40,11.65,1.82,0.00,6.27,0.74,75.2014
6855,-6.25,14.93,13.76,167,0.53,1429,0.00,29.50,4.57,106,0.00,0,7.55,-7.25,12.04,1.80,0.00,6.27,0.74,75.0732
6933,-6.25,14.47,13.76,167,0.55,1380,0.00,27.00,4.71,106,0.00,0,7.84,-6.96,12.35,1.84,0.00,6.27,0.74,75.2075
7004,-6.25,14.01,13.76,167,0.58,1323,0.00,25.50,4.51,106,0.00,0,8.13,-6.67,12.52,1.84,0.00,6.27,0.74,75.4944
7079,-6.25,13.78,13.76,167,0.59,1293,0.00,25.00,4.34,106,0.00,0,8.42,-6.38,12.57,1.84,0.00,6.27,0.74,75.6927
7155,-6.25,13.44,13.76,167,0.57,1271,0.00,24.50,3.95,106,0.00,0,8.56,-6.24,11.76,1.82,0.00,5.49,0.72,75.9216
7228,-6.25,13.67,13.76,167,0.58,1235,0.00,24.50,3.87,106,0.00,0,8.71,-5.95,11.65,1.80,0.00,5.49,0.72,75.8606
7304,-6.25,13.78,13.76,167,0.58,1185,0.00,23.50,3.79,106,0.00,0,8.85,-5.95,11.34,1.80,0.00,5.49,0.72,75.7477
7381,-6.25,14.13,13.84,167,0.61,1136,0.00,23.50,3.88,106,0.00,0,9.14,-5.66,11.29,1.80,0.00,5.49,0.72,75.4730
7456,-6.25,14.47,13.76,167,0.61,1118,0.00,22.50,3.82,106,0.00,0,9.29,-5.51,11.32,1.80,0.00,5.49,0.72,75.4608
7540,-6.25,14.47,13.76,167,0.61,1097,0.00,22.00,3.74,106,0.00,0,9.43,-5.37,11.19,1.78,0.00,5.49,0.72,75.4608
7607,-6.25,14.59,13.76,167,0.62,1087,0.00,22.00,3.69,106,0.00,0,9.58,-5.22,11.11,1.78,0.00,5.49,0.72,75.5585
7681,-6.25,14.24,13.84,167,0.60,1081,0.00,22.00,3.66,106,0.00,0,9.72,-5.08,10.91,1.78,0.00,5.49,0.72,75.8087
7761,-6.25,14.59,13.76,167,0.61,1071,0.00,22.00,3.67,106,0.00,0,9.87,-4.93,10.91,1.76,0.00,5.49,0.72,75.9644
7835,-6.25,14.36,13.76,167,0.62,1072,0.00,22.00,3.66,106,0.00,0,9.87,-4.79,11.08,1.78,0.00,5.49,0.72,76.0162
7912,-6.25,14.70,13.76,167,0.62,1070,0.00,22.00,3.65,106,0.00,0,10.01,-4.79,10.94,1.76,0.00,5.49,0.72,76.0803
7987,-6.25,14.70,13.76,167,0.61,1065,0.00,21.50,3.86,106,0.00,0,10.01,-4.79,11.04,1.78,0.00,5.49,0.72,75.9277
8059,-6.25,14.81,13.84,167,0.62,1058,0.00,21.50,3.61,106,0.00,0,10.01,-4.79,10.83,1.76,0.00,5.10,0.70,75.8636
8137,-6.25,14.81,13.76,167,0.61,1034,0.00,21.50,3.49,106,0.00,0,10.01,-4.79,10.44,1.74,0.00,5.10,0.70,75.7568
8209,-6.25,14.81,13.76,167,0.62,1023,0.00,21.50,3.44,106,0.00,0,10.16,-4.64,10.37,1.74,0.00,4.71,0.70,75.4486
8284,-6.25,14.81,13.84,167,0.64,982,0.00,21.00,3.77,106,0.00,0,10.16,-4.64,10.42,1.74,0.00,4.71,0.70,75.1923
8361,-6.25,14.81,13.84,167,0.63,960,0.00,21.00,3.48,106,0.00,0,10.30,-4.50,10.22,1.74,0.00,4.71,0.68,75.0092
8435,-6.25,14.70,13.84,167,0.61,936,0.00,20.50,3.39,106,0.00,0,10.30,-4.50,9.88,1.70,0.00,4.31,0.68,74.8383
8510,-6.25,14.93,13.84,167,0.61,927,0.00,21.00,3.17,106,0.00,0,10.30,-4.50,9.17,1.68,0.00,4.31,0.68,74.7559
8586,-6.25,14.47,13.76,167,0.59,930,0.00,21.00,3.28,106,0.00,0,10.16,-4.64,9.20,1.66,0.00,4.31,0.68,74.8016
8661,-6.25,14.47,13.76,167,0.58,962,0.00,21.00,3.17,106,0.00,0,10.01,-4.79,8.86,1.66,0.00,3.92,0.68,74.9084
8735,-6.25,14.47,13.76,167,0.55,990,0.00,22.00,3.24,106,0.00,0,9.87,-5.08,8.84,1.64,0.00,3.92,0.68,75.0580
8810,-6.25,14.36,13.84,167,0.53,1028,0.00,22.50,3.07,106,0.00,0,9.72,-5.22,8.70,1.64,0.00,3.92,0.68,75.0458
8886,-6.25,14.47,13.92,167,0.52,1029,0.00,23.00,3.07,106,0.00,0,9.43,-5.37,8.54,1.64,0.00,3.92,0.68,74.4720
8960,-6.25,14.59,13.76,167,0.51,1048,0.00,23.50,3.13,106,0.00,0,9.14,-5.66,8.56,1.64,0.00,3.92,0.68,74.5544
9042,-6.25,14.59,13.84,167,0.49,1083,0.00,23.50,3.24,106,0.00,0,8.85,-5.95,8.56,1.64,0.00,3.92,0.68,74.8505
9110,-6.25,14.81,13.76,167,0.48,1111,0.00,23.50,3.08,106,0.00,0,8.71,-6.09,8.59,1.64,0.00,3.92,0.68,74.5575
9189,-6.25,14.93,13.76,167,0.48,1112,0.00,23.50,3.06,106,0.00,0,8.56,-6.24,8.56,1.64,0.00,3.92,0.68,74.1791
9263,-6.25,14.81,13.76,167,0.46,1105,0.00,23.50,2.89,106,0.00,0,8.42,-6.53,8.59,1.64,0.00,3.92,0.68,74.2401
9336,-6.25,14.70,13.76,167,0.46,1153,0.00,24.00,3.20,106,0.00,0,8.27,-6.53,8.78,1.64,0.00,4.31,0.70,74.4537
9419,-6.25,14.59,13.76,167,0.48,1172,0.00,24.00,3.50,106,0.00,0,8.27,-6.53,9.34,1.66,0.00,4.71,0.70,74.6002
9487,-6.25,14.47,13.76,167,0.49,1173,0.00,24.00,3.25,106,0.00,0,8.27,-6.53,9.42,1.70,0.00,4.71,0.70,74.5911
9563,-6.25,14.70,13.76,167,0.49,1177,0.00,24.50,3.26,106,0.00,0,8.27,-6.53,9.64,1.70,0.00,5.10,0.70,74.9268
9638,-6.25,14.81,13.68,167,0.49,1206,0.00,24.50,3.37,106,0.00,0,8.27,-6.53,9.97,1.72,0.00,5.10,0.70,75.0916
9714,-6.25,14.70,13.84,167,0.50,1214,0.00,25.00,3.64,106,0.00,0,8.27,-6.53,10.12,1.72,0.00,5.10,0.70,75.2441
9828,-6.25,14.70,13.76,167,0.50,1231,0.00,25.00,3.68,106,0.00,0,8.27,-6.53,10.22,1.72,0.00,5.49,0.72,75.2869
9864,-6.25,14.70,13.76,167,0.49,1246,0.00,25.00,3.45,106,0.00,0,8.27,-6.53,10.27,1.72,0.00,5.49,0.72,75.4059
9944,-6.25,14.81,13.76,169,0.49,1257,0.00,25.50,3.49,106,0.00,0,8.27,-6.53,10.32,1.74,0.00,5.49,0.72,75.4547
10020,-6.25,14.93,13.76,169,0.49,1274,0.00,25.50,3.53,106,0.00,0,8.27,-6.53,10.37,1.74,0.00,5.49,0.72,75.3479
10091,-6.25,14.93,13.76,169,0.49,1270,0.00,25.50,3.56,106,0.00,0,8.27,-6.53,10.44,1.74,0.00,5.49,0.72,75.4791
10166,-6.25,14.93,13.76,169,0.48,1282,0.00,26.00,3.63,106,0.00,0,8.13,-6.67,10.44,1.74,0.00,5.49,0.72,75.4761
10242,-6.25,14.93,13.76,169,0.47,1310,0.00,26.00,3.64,106,0.00,0,8.13,-6.67,10.44,1.74,0.00,5.49,0.72,75.5280
10316,-6.25,14.70,13.76,169,0.47,1324,0.00,26.00,3.67,106,0.00,0,8.13,-6.82,10.44,1.74,0.00,5.49,0.72,75.4089
10392,-6.25,14.81,13.76,169,0.47,1326,0.00,26.50,3.68,106,0.00,0,7.98,-6.82,10.47,1.74,0.00,5.49,0.72,75.3845
10467,-6.25,14.70,13.76,169,0.47,1342,0.00,27.00,3.72,106,0.00,0,7.98,-6.82,10.48,1.74,0.00,5.49,0.72,75.3479
10547,-6.25,14.81,13.76,169,0.46,1346,0.00,27.00,3.73,106,0.00,0,7.84,-6.96,10.44,1.74,0.00,5.49,0.72,75.3510
10617,-6.25,14.70,13.76,169,0.46,1362,0.00,27.00,3.78,106,0.00,0,7.84,-6.96,10.48,1.74,0.00,5.49,0.72,75.3662
10693,-6.25,14.70,13.76,169,0.46,1365,0.00,27.00,3.55,106,0.00,0,7.84,-6.96,10.53,1.74,0.00,5.49,0.72,75.4028
10769,-6.25,14.59,13.76,169,0.45,1386,0.00,27.50,3.55,106,0.00,0,7.69,-7.11,10.48,1.74,0.00,5.49,0.72,75.4089
10853,-6.25,14.59,13.76,169,0.45,1394,0.00,27.50,3.57,106,0.00,0,7.69,-7.11,10.44,1.74,0.00,5.49,0.72,75.3296
10919,-6.25,14.70,13.76,169,0.45,1400,0.00,27.50,3.58,106,0.00,0,7.69,-7.11,10.53,1.74,0.00,5.49,0.72,75.3632
11000,-6.25,14.70,13.84,169,0.45,1418,0.00,28.00,3.63,106,0.00,0,7.69,-7.11,10.53,1.74,0.00,5.49,0.72,75.3326
11070,-6.25,14.81,13.76,169,0.45,1412,0.00,28.00,3.62,106,0.00,0,7.69,-7.11,10.58,1.74,0.00,5.49,0.72,75.3296
11146,-6.25,14.81,13.76,169,0.44,1422,0.00,28.50,3.66,106,0.00,0,7.55,-7.25,10.58,1.76,0.00,5.49,0.72,75.3387
11221,-7.03,14.70,13.76,169,0.44,1430,0.00,28.50,3.72,106,0.00,0,7.69,-7.25,10.63,1.76,0.00,5.49,0.72,75.3937
11298,-7.03,14.70,13.76,169,0.44,1458,0.00,28.50,3.73,106,0.00,0,7.55,-7.25,10.68,1.76,0.00,5.49,0.72,75.3906
11374,-7.03,14.70,13.76,169,0.44,1454,0.00,28.50,3.72,106,0.00,0,7.55,-7.25,10.83,1.76,0.00,5.49,0.72,75.3601
11446,-7.03,14.70,13.76,169,0.44,1468,0.00,29.00,3.76,106,0.00,0,7.55,-7.25,10.78,1.76,0.00,5.49,0.72,75.3906
11522,-7.03,14.81,13.76,169,0.44,1475,0.00,29.00,3.78,106,0.00,0,7.55,-7.25,10.83,1.78,0.00,5.88,0.72,75.5157
11605,-7.03,14.81,13.76,169,0.44,1493,0.00,29.50,3.81,106,0.00,0,7.55,-7.25,10.94,1.76,0.00,5.88,0.72,75.5707
11672,-7.03,14.81,13.76,169,0.45,1489,0.00,29.50,3.81,106,0.00,0,7.55,-7.25,11.08,1.78,0.00,5.88,0.74,75.5707
11749,-7.03,14.70,13.76,169,0.44,1486,0.00,29.50,3.87,106,0.00,0,7.55,-7.25,11.38,1.78,0.00,5.88,0.74,75.5890
11823,-7.03,14.70,13.84,169,0.44,1543,0.00,29.50,3.95,106,0.00,0,7.55,-7.25,11.29,1.78,0.00,5.88,0.74,75.8545
11898,-7.03,14.70,13.84,169,0.45,1538,0.00,30.00,3.94,106,0.00,0,7.55,-7.25,11.44,1.78,0.00,5.88,0.74,75.8087
11975,-7.03,14.70,13.84,169,0.46,1532,0.00,30.00,3.92,106,0.00,0,7.55,-7.25,11.55,1.80,0.00,5.88,0.74,75.6073
12050,-7.03,14.81,13.84,169,0.45,1528,0.00,29.50,4.24,106,0.00,0,7.55,-7.25,11.60,1.80,0.00,6.27,0.74,75.7355
12125,-7.03,14.93,13.84,169,0.45,1546,0.00,30.00,4.02,106,0.00,0,7.55,-7.25,11.71,1.80,0.00,6.27,0.74,75.9064
12203,-7.03,15.39,13.76,169,0.45,1570,0.00,30.50,4.35,106,0.00,0,7.55,-7.25,11.87,1.82,0.00,6.27,0.74,75.8179
12275,-7.03,15.73,13.84,169,0.45,1570,0.00,30.50,4.34,106,0.00,0,7.40,-7.40,11.76,1.82,0.00,6.27,0.74,75.8423
12350,-7.03,15.96,13.84,169,0.44,1586,0.00,30.50,4.40,106,0.00,0,7.40,-7.40,11.76,1.82,0.00,6.27,0.74,75.8789
12427,-7.03,15.96,13.76,169,0.44,1612,0.00,31.50,4.47,106,0.00,0,7.40,-7.40,11.82,1.80,0.00,6.27,0.74,75.8057
12504,-7.03,15.85,13.84,169,0.44,1610,0.00,31.50,4.47,106,0.00,0,7.25,-7.55,11.76,1.80,0.00,6.27,0.74,75.6531
12579,-7.03,15.50,13.84,169,0.44,1602,0.00,31.00,4.49,106,0.00,0,7.25,-7.55,11.81,1.80,0.00,6.27,0.74,75.6592
12652,-7.03,15.27,13.84,169,0.43,1620,0.00,31.50,4.55,106,0.00,0,7.25,-7.55,11.82,1.80,0.00,6.27,0.74,75.6378
12727,-6.25,15.27,13.76,169,0.43,1642,0.00,32.00,4.57,106,0.00,0,7.25,-7.69,11.87,1.82,0.00,6.27,0.74,75.5127
12804,-6.25,15.39,13.76,169,0.43,1634,0.00,32.00,4.53,106,0.00,0,7.11,-7.69,11.82,1.80,0.00,6.27,0.74,75.3723
