Time (msec),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Knock Count (Combined) (Knock Events),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Volumetric Efficiency* (Load Multiplier)
4671,0.00,14.93,14.00,180,0.29,946,0.00,12.00,1.62,70,0.00,0,5.08,-9.58,4.58,1.36,0.00,0.54,66.6168
4745,0.00,14.81,14.00,180,0.29,948,0.00,12.50,1.61,70,0.00,0,5.08,-9.58,4.55,1.38,0.00,0.54,66.5192
4818,0.00,14.70,13.92,180,0.29,946,0.00,13.50,1.60,70,0.00,0,5.08,-9.58,4.49,1.38,0.00,0.54,66.4398
4891,0.00,14.93,14.00,180,0.29,939,0.00,12.50,1.62,70,0.00,0,5.08,-9.58,4.53,1.36,0.00,0.54,66.4673
4963,0.00,14.81,13.92,180,0.29,948,0.00,13.00,1.61,70,0.00,0,5.08,-9.58,4.53,1.36,0.00,0.54,66.5344
5037,0.00,14.93,14.08,180,0.29,948,0.00,12.50,1.62,70,0.00,0,5.08,-9.58,4.49,1.36,0.00,0.54,66.3452
5109,0.00,14.81,14.00,180,0.29,930,0.00,14.50,1.59,70,0.00,0,5.08,-9.58,4.46,1.36,0.00,0.54,66.3239
5183,0.00,14.93,13.84,180,0.29,929,0.00,14.50,1.59,70,0.00,0,5.08,-9.58,4.49,1.36,0.00,0.54,66.3452
5256,0.00,14.81,14.00,180,0.30,927,0.00,14.50,1.58,70,0.00,0,5.08,-9.58,4.55,1.36,0.00,0.54,66.3757
5330,0.00,14.93,13.92,180,0.29,922,0.00,14.00,1.59,70,0.00,0,5.08,-9.58,4.55,1.36,0.00,0.54,66.4368
5404,0.00,14.81,14.00,180,0.29,934,0.00,14.00,1.59,70,0.00,0,5.08,-9.58,4.58,1.36,0.00,0.54,66.4307
5475,0.00,14.81,13.92,180,0.29,933,0.00,13.00,1.61,70,0.00,0,5.08,-9.58,4.55,1.34,0.00,0.54,66.5161
5548,0.00,14.81,14.00,180,0.28,945,0.00,13.00,1.61,70,0.00,0,5.08,-9.58,4.49,1.34,0.00,0.54,66.5161
5621,0.00,14.70,13.92,180,0.28,946,0.00,13.00,1.61,70,0.00,0,5.08,-9.58,4.44,1.34,0.00,0.54,66.4429
5695,0.00,14.70,14.00,180,0.29,930,0.00,15.00,1.59,70,0.00,0,5.08,-9.58,4.44,1.34,0.00,0.54,66.2994
5766,0.00,14.59,14.00,180,0.29,929,0.00,15.00,1.59,70,0.00,0,5.08,-9.58,4.46,1.36,0.00,0.54,66.3483
5839,0.00,14.59,14.00,180,0.29,926,0.00,15.00,1.58,70,0.00,0,5.08,-9.58,4.49,1.36,0.00,0.54,66.3269
5914,0.00,14.59,14.00,180,0.29,933,0.00,14.00,1.58,70,0.00,0,5.08,-9.58,4.53,1.36,0.00,0.54,66.2415
5986,0.00,14.59,13.92,180,0.29,924,0.00,15.00,1.58,70,0.00,0,5.08,-9.58,4.49,1.36,0.00,0.54,66.2781
6059,0.00,14.70,14.00,180,0.29,925,0.00,14.00,1.59,70,0.00,0,5.08,-9.58,4.49,1.36,0.00,0.54,66.3666
6132,0.00,14.59,14.00,180,0.28,934,0.00,12.50,1.62,70,0.00,0,5.08,-9.58,4.49,1.36,0.00,0.54,66.5924
6205,0.00,14.70,14.00,180,0.28,949,0.00,13.00,1.62,70,0.00,0,5.08,-9.72,4.44,1.36,0.00,0.54,66.4459
6278,0.00,14.70,14.00,180,0.28,938,0.00,14.00,1.60,70,0.00,0,4.93,-9.72,4.38,1.36,0.00,0.54,66.3544
6351,0.00,14.81,14.08,180,0.29,923,0.00,15.50,1.58,70,0.00,0,4.93,-9.72,4.38,1.36,0.00,0.54,66.2689
6424,0.00,14.59,14.00,180,0.29,929,0.00,14.50,1.59,70,0.00,0,4.93,-9.72,4.44,1.36,0.00,0.54,66.2292
6496,0.00,14.70,14.08,180,0.29,923,0.00,15.50,1.58,70,0.00,0,4.93,-9.58,4.46,1.36,0.00,0.54,66.2537
6570,0.00,14.81,14.00,180,0.28,926,0.00,15.00,1.57,70,0.00,0,5.08,-9.58,4.44,1.36,0.00,0.54,66.1713
6643,0.00,14.93,14.08,180,0.28,917,0.00,14.00,1.59,70,0.00,0,5.08,-9.58,4.41,1.36,0.00,0.54,66.4276
6716,0.00,15.16,14.00,180,0.28,934,0.00,14.50,1.59,70,0.00,0,5.08,-9.58,4.44,1.34,0.00,0.54,66.3330
6789,0.00,15.16,14.00,180,0.28,929,0.00,14.00,1.61,70,0.00,0,5.08,-9.72,4.44,1.34,0.00,0.54,66.4215
6861,0.00,14.93,13.92,180,0.28,942,0.00,13.50,1.60,70,0.00,0,4.93,-9.72,4.38,1.34,0.00,0.54,66.3879
6935,0.00,14.93,14.00,180,0.28,940,0.00,13.50,1.60,70,0.00,0,4.93,-9.72,4.38,1.34,0.00,0.54,66.2415
7007,0.00,14.70,13.92,180,0.28,927,0.00,15.00,1.58,70,0.00,0,4.93,-9.72,4.35,1.34,0.00,0.54,66.2140
7081,0.00,14.93,14.00,180,0.29,922,0.00,15.50,1.57,70,0.00,0,4.93,-9.72,4.35,1.34,0.00,0.54,66.1591
7154,0.00,14.70,14.00,180,0.29,924,0.00,15.00,1.61,70,0.00,0,4.93,-9.58,4.41,1.34,0.00,0.54,66.2872
7228,0.00,14.81,14.00,180,0.28,943,0.00,13.00,1.62,70,0.00,0,5.08,-9.72,4.41,1.34,0.00,0.54,66.4734
7301,0.00,14.70,14.00,180,0.27,947,0.00,12.00,1.62,70,0.00,0,4.93,-9.72,4.38,1.34,0.00,0.54,66.5100
7374,0.00,14.70,14.00,180,0.27,951,0.00,12.50,1.62,70,0.00,0,4.93,-9.72,4.35,1.34,0.00,0.54,66.4795
7446,-0.78,14.81,14.00,180,0.30,948,0.00,12.50,1.62,70,0.00,0,4.93,-9.72,4.33,1.36,0.00,0.56,66.3666
7519,-0.78,14.70,14.00,180,0.32,939,0.00,14.00,1.80,70,0.00,0,4.93,-9.72,4.77,1.40,0.39,0.58,66.3605
7592,-0.78,14.81,14.00,180,0.36,937,0.00,14.00,2.00,70,0.00,0,4.93,-9.58,2.71,1.46,1.57,0.62,66.5497
7665,-0.78,14.70,14.00,180,0.46,956,0.00,15.00,2.45,70,0.00,0,5.37,-9.29,6.27,1.56,3.14,0.66,67.7979
7738,-0.78,14.81,14.00,180,0.53,996,0.00,16.50,2.98,70,0.00,0,5.95,-7.98,7.70,1.66,5.10,0.72,69.5648
7812,-0.78,14.81,14.00,180,0.56,1080,0.00,20.00,3.48,70,0.00,0,6.67,-7.55,10.08,1.74,5.88,0.74,72.3999
7884,-0.78,14.36,14.00,180,0.55,1164,0.00,26.50,3.65,70,0.00,0,7.11,-7.25,10.93,1.80,6.67,0.76,74.2126
7957,0.00,14.13,14.00,180,0.51,1318,0.00,28.00,3.77,70,0.00,0,7.40,-6.96,11.97,1.82,7.06,0.78,75.9460
8030,0.00,12.75,14.00,180,0.52,1472,0.00,30.00,4.18,70,0.00,0,7.69,-6.96,12.79,1.90,7.45,0.80,76.8036
8104,0.00,13.90,14.00,180,0.52,1634,0.00,30.50,4.35,70,0.00,0,7.69,-6.96,14.05,1.94,7.84,0.80,77.1240
8176,0.00,15.50,13.92,180,0.51,1792,0.00,32.00,4.97,70,0.00,0,7.69,-7.11,15.33,1.96,8.24,0.80,77.2644
8250,0.00,16.88,13.92,180,0.50,1856,0.00,33.00,5.15,70,0.00,0,7.40,-7.25,15.40,1.96,8.24,0.80,77.2095
8324,0.00,17.00,14.00,180,0.48,1914,0.00,34.00,5.31,70,0.00,0,7.40,-7.25,15.54,1.98,8.24,0.80,77.2522
8397,0.00,15.96,14.00,180,0.48,1950,0.00,34.50,5.41,70,0.00,0,7.25,-7.40,15.68,1.96,8.24,0.82,77.2949
8470,0.00,15.27,14.00,180,0.50,1960,0.00,34.50,5.39,70,0.00,0,7.25,-7.40,15.68,1.98,8.24,0.82,77.0294
8542,-0.78,14.93,13.92,180,0.51,1944,0.00,34.00,5.30,70,0.00,0,7.25,-7.40,15.95,1.98,8.24,0.82,76.8677
8615,-0.78,15.04,14.00,180,0.53,1911,0.00,33.00,5.52,70,0.00,0,7.25,-7.40,16.09,1.98,8.24,0.82,76.6663
8688,0.00,15.04,14.00,180,0.55,1848,0.00,32.00,5.33,70,0.00,0,7.25,-7.25,16.02,1.98,8.24,0.82,76.4740
8761,0.00,14.93,14.00,180,0.58,1785,0.00,30.50,5.09,70,0.00,0,7.40,-7.25,15.88,1.98,8.24,0.82,76.4130
8833,0.00,14.93,13.92,180,0.61,1624,0.00,28.50,5.20,70,0.00,0,7.40,-6.96,16.02,1.98,8.24,0.82,76.5289
8908,0.00,14.81,14.00,180,0.60,1571,0.00,28.00,5.03,70,0.00,0,7.84,-6.82,16.02,1.98,8.24,0.82,76.6510
8980,0.00,14.59,14.00,180,0.65,1492,0.00,27.00,5.09,70,0.00,0,8.27,-6.09,15.81,1.98,8.24,0.82,76.8494
9054,0.00,14.36,14.00,180,0.68,1424,0.00,25.50,4.71,70,0.00,0,8.56,-5.80,15.88,1.98,8.24,0.82,76.9135
9126,0.00,14.24,14.00,180,0.71,1380,0.00,25.00,4.79,70,0.00,0,8.85,-5.51,15.61,1.96,8.24,0.82,77.1057
9199,0.00,14.13,14.00,180,0.73,1321,0.00,22.50,4.65,70,0.00,0,9.14,-5.37,15.74,1.96,8.24,0.82,77.2125
9273,0.00,13.78,14.00,180,0.76,1281,0.00,21.00,4.80,70,0.00,0,9.29,-5.08,15.41,1.96,8.24,0.82,77.2217
9345,0.00,14.36,13.92,180,0.77,1251,0.00,20.00,4.61,70,0.00,0,9.58,-4.79,15.61,1.94,8.24,0.82,77.4231
9419,0.00,14.13,14.00,180,0.79,1168,0.00,19.00,4.48,70,0.00,0,9.87,-4.64,15.20,1.96,8.24,0.82,77.3346
9492,0.00,14.70,14.08,180,0.80,1141,0.00,18.00,4.38,70,0.00,0,10.01,-4.21,15.01,1.94,8.24,0.82,77.3346
9565,0.00,14.59,14.00,180,0.80,1120,0.00,17.50,4.54,70,0.00,0,10.59,-4.06,14.89,1.94,8.24,0.82,77.6062
9638,0.00,14.24,14.00,180,0.80,1088,0.00,16.50,4.41,70,0.00,0,10.88,-3.63,14.76,1.92,8.24,0.82,77.5635
9711,0.00,14.59,14.08,180,0.82,1076,0.00,16.50,4.26,70,0.00,0,11.03,-3.48,14.40,1.92,8.24,0.82,77.4719
9784,0.00,14.24,14.00,180,0.82,1052,0.00,15.50,4.21,70,0.00,0,11.17,-3.34,14.40,1.92,8.24,0.82,77.6428
9858,0.00,14.59,14.00,180,0.84,1039,0.00,14.00,4.33,70,0.00,0,11.32,-3.19,14.29,1.90,8.24,0.82,77.5238
9930,0.00,14.81,14.00,180,0.83,1015,0.00,14.50,4.13,70,0.00,0,11.46,-3.05,14.22,1.92,8.24,0.82,77.9358
10003,0.00,14.93,14.08,180,0.80,1018,0.00,16.50,4.07,70,0.00,0,11.61,-3.05,14.05,1.90,8.63,0.82,78.7659
10076,0.00,15.04,14.08,180,0.79,1118,0.00,17.50,4.30,70,0.00,0,11.61,-3.19,14.29,1.90,8.24,0.82,79.3518
10148,0.00,15.27,14.08,180,0.77,1150,0.00,18.50,4.42,70,0.00,0,11.46,-3.19,14.29,1.92,8.63,0.82,79.4434
10221,0.00,15.39,14.00,180,0.76,1191,0.00,20.00,4.57,70,0.00,0,11.32,-3.34,14.53,1.92,8.63,0.82,79.8218
10295,0.00,15.62,14.00,180,0.74,1233,0.00,21.00,4.74,70,0.00,0,11.03,-3.77,14.95,1.94,8.63,0.82,80.0446
10368,0.00,15.96,14.00,180,0.76,1276,0.00,21.50,5.36,70,0.00,0,10.88,-3.77,15.33,1.98,9.80,0.88,80.3101
10441,0.00,15.50,14.00,180,0.84,1321,0.00,19.00,6.00,70,0.00,0,10.88,-3.48,16.84,2.04,10.98,0.90,80.7648
10513,0.00,15.73,14.00,180,0.84,1340,0.00,20.00,6.00,70,0.00,0,11.17,-3.34,18.62,2.10,11.37,0.92,82.1014
10587,0.00,15.62,14.00,180,0.84,1405,0.00,21.00,6.20,70,0.00,0,11.32,-3.19,19.47,2.12,11.76,0.94,82.9498
10660,0.00,15.04,14.00,180,0.83,1452,0.00,21.00,6.03,70,0.00,0,11.46,-3.05,20.12,2.12,12.16,0.94,83.5602
10733,0.00,14.81,14.00,180,0.85,1527,0.00,22.00,6.19,70,0.00,0,11.61,-3.05,20.96,2.16,12.55,0.98,84.2773
10805,0.00,15.27,13.92,180,0.91,1566,0.00,21.00,7.35,70,0.00,0,11.75,-2.90,22.89,2.22,14.12,1.02,85.5957
10878,0.00,15.50,14.00,180,0.90,1640,0.00,20.00,7.70,70,0.00,0,12.19,-2.47,25.18,2.26,14.90,1.02,86.6974
10951,0.00,15.27,13.92,180,0.90,1700,0.00,21.00,7.62,70,0.00,0,12.33,-2.32,25.78,2.26,14.90,1.04,87.1216
11024,0.00,14.81,14.00,180,0.93,1724,0.00,21.50,7.90,70,0.00,0,12.33,-2.32,26.09,2.28,14.90,1.04,87.2955
11099,0.00,14.93,13.92,180,0.89,1762,0.00,23.00,8.21,70,0.00,0,12.33,-2.32,26.62,2.28,15.29,1.04,87.8571
11171,0.00,15.73,13.92,180,0.91,1834,0.00,24.00,8.52,70,0.00,0,12.33,-2.32,26.82,2.32,15.29,1.04,88.3087
11245,0.00,15.50,13.92,180,0.87,1901,0.00,25.00,8.66,70,0.00,0,12.33,-2.32,27.54,2.32,15.69,1.04,88.7207
11317,0.00,15.50,14.00,180,0.86,1933,0.00,26.00,8.41,70,0.00,0,12.33,-2.32,28.16,2.32,15.69,1.04,89.0381
11390,0.00,15.39,13.92,180,0.85,2020,0.00,26.00,9.05,70,0.00,0,12.33,-2.32,28.70,2.34,15.69,1.04,89.2853
11462,0.00,15.50,14.00,180,0.85,2089,0.00,26.50,9.36,70,0.00,0,12.33,-2.32,29.35,2.34,15.69,1.04,89.4318
11537,0.00,15.50,13.92,180,0.84,2134,0.00,27.00,9.56,70,0.00,0,12.19,-2.61,29.90,2.36,15.69,1.04,89.5691
11609,0.00,15.50,13.92,180,0.83,2172,0.00,27.00,9.51,70,0.00,0,12.04,-2.61,30.55,2.38,15.69,1.04,89.6088
11682,0.00,15.27,14.00,180,0.84,2228,0.00,27.00,10.12,72,0.00,0,12.04,-2.61,30.77,2.38,15.69,1.04,89.6881
11755,0.00,15.16,13.92,180,0.84,2258,0.00,27.50,10.45,72,0.00,0,12.04,-2.61,31.76,2.40,15.69,1.06,90.0360
11829,0.00,15.16,14.00,180,0.85,2332,0.00,27.50,10.66,72,0.00,0,12.04,-2.76,32.45,2.44,15.69,1.06,90.2802
11902,0.00,15.27,13.92,180,0.87,2380,0.00,27.50,10.93,72,0.00,0,11.90,-2.76,33.54,2.46,16.08,1.06,90.2893
11975,0.00,15.16,13.92,180,0.86,2471,0.00,27.00,11.60,72,0.00,0,11.90,-2.61,35.47,2.48,16.08,1.06,90.4938
12048,0.00,14.93,14.00,180,0.87,2520,0.00,28.00,11.29,72,0.00,0,11.90,-2.76,36.08,2.50,16.08,1.06,90.4510
12121,0.00,14.81,13.92,180,0.87,2577,0.00,28.00,11.54,72,0.00,0,11.90,-2.76,36.93,2.50,16.08,1.06,90.4297
12194,0.00,15.04,14.00,180,0.86,2627,0.00,28.00,12.33,72,0.00,0,11.90,-2.76,38.04,2.52,16.08,1.06,90.4633
12268,0.00,15.16,13.92,180,0.86,2686,0.00,28.50,12.84,72,0.00,0,11.90,-2.90,38.43,2.54,16.08,1.06,90.4816
12341,0.00,14.93,13.92,180,0.86,2736,0.00,28.50,13.06,72,0.00,0,11.75,-2.90,38.98,2.56,16.08,1.06,90.4724
12414,0.00,14.81,13.92,180,0.86,2782,0.00,29.00,13.33,72,0.00,0,11.75,-2.90,40.20,2.56,16.08,1.06,90.2740
12487,0.00,14.93,14.00,180,0.85,2841,0.00,29.50,13.04,72,0.00,0,11.75,-2.90,40.74,2.58,16.08,1.06,90.0879
12560,0.00,14.81,13.92,180,0.85,2911,0.00,29.50,13.85,72,0.00,0,11.75,-2.90,41.43,2.60,16.47,1.06,90.0177
12633,0.00,14.70,14.00,180,0.84,3004,0.00,29.50,13.46,72,0.00,0,11.75,-2.90,42.24,2.62,16.47,1.06,89.8987
12706,0.00,14.59,13.92,180,0.82,3058,0.00,30.00,13.70,72,0.00,0,11.75,-2.90,42.52,2.60,16.47,1.06,89.6790
12779,0.00,14.70,13.92,180,0.83,3121,0.00,30.50,13.98,72,0.00,0,11.75,-2.90,43.06,2.62,16.47,1.06,89.4806
12852,0.00,14.70,13.92,180,0.83,3162,0.00,30.50,14.16,72,0.00,0,11.75,-2.90,43.48,2.62,16.47,1.06,89.3738
12926,0.00,14.59,13.92,180,0.82,3180,0.00,30.50,14.62,72,0.00,0,11.75,-3.05,43.74,2.64,16.47,1.06,89.2578
13000,0.00,14.59,14.00,180,0.81,3264,0.00,31.00,14.15,72,0.00,0,11.61,-3.05,44.57,2.64,16.47,1.06,89.1083
13072,0.00,14.70,13.92,180,0.79,3316,0.00,31.50,15.01,72,0.00,0,11.61,-3.19,44.42,2.66,16.47,1.06,88.9587
13145,0.00,14.59,14.00,180,0.81,3351,0.00,31.50,14.48,72,0.00,0,11.46,-3.19,45.32,2.66,16.47,1.06,88.8977
13217,0.00,14.47,14.00,180,0.78,3394,0.00,32.00,14.77,72,0.00,0,11.46,-3.34,45.47,2.66,16.47,1.06,88.7482
13291,0.00,14.59,14.00,180,0.79,3500,0.00,32.00,14.93,72,0.00,0,11.32,-3.34,46.07,2.68,16.47,1.06,88.5986
