Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),Knock Count (Combined) (Knock Events),MAF/SD Blend Percentage (%),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),A/F Learning #1 (%)
1474,14.70,13.76,178,938,74.90,14.00,1.60,33,0.00,4.79,0.00,0,0.27,0.00,0,0.0,-9.87,4.11,0.00,0.54,-10.16
1551,14.70,13.76,180,920,74.90,15.50,1.57,33,0.00,4.79,0.00,0,0.26,0.00,0,0.0,-9.87,4.09,0.00,0.54,-10.16
1628,14.70,13.76,180,927,74.90,15.00,1.58,33,0.00,4.79,0.00,0,0.27,0.00,0,0.0,-9.87,4.14,0.00,0.54,-10.16
1706,14.70,13.76,178,917,74.90,16.00,1.57,33,0.00,4.79,0.00,0,0.28,0.00,0,0.0,-9.87,4.17,0.00,0.54,-10.16
1783,14.59,13.84,178,924,74.90,15.00,1.58,33,0.00,4.93,0.00,0,0.27,0.00,0,0.0,-9.72,4.20,0.00,0.54,-10.16
1861,14.70,13.84,180,938,74.90,13.00,1.60,33,0.00,4.93,0.00,0,0.27,0.00,0,0.0,-9.72,4.14,0.00,0.54,-10.16
1939,14.59,13.84,180,929,74.90,14.00,1.59,33,0.00,4.79,0.00,0,0.26,0.00,0,0.0,-9.87,4.09,0.00,0.54,-10.16
2016,14.70,13.84,180,933,74.90,14.00,1.59,33,0.00,4.79,0.00,0,0.26,0.00,0,0.0,-9.87,3.98,0.00,0.54,-10.16
2093,14.59,13.84,178,928,74.90,14.00,1.58,33,0.00,4.79,0.00,0,0.26,0.00,0,0.0,-9.87,3.98,0.00,0.54,-10.16
2170,14.70,13.84,178,916,74.90,15.50,1.58,33,0.00,4.79,0.00,0,0.27,0.00,0,0.0,-9.87,4.03,0.00,0.54,-10.16
2251,14.70,13.68,180,906,74.90,16.50,1.55,33,0.00,4.79,0.00,0,0.28,0.00,0,0.0,-9.87,4.06,0.00,0.54,-10.16
2326,14.70,13.84,180,886,74.90,18.50,1.51,33,0.00,4.79,0.00,0,0.28,0.00,0,0.0,-9.87,4.14,0.00,0.54,-10.16
2405,14.93,13.84,180,893,74.90,17.50,1.52,33,0.00,4.93,0.00,0,0.28,0.00,0,0.0,-9.72,4.25,0.00,0.54,-10.16
2482,14.81,13.76,180,900,74.90,16.50,1.73,33,0.00,4.93,0.00,0,0.28,0.00,0,0.0,-9.72,4.22,0.00,0.54,-10.16
2559,15.04,13.84,180,911,74.90,15.00,1.55,33,0.00,4.93,0.00,0,0.27,0.00,0,0.0,-9.72,4.17,0.00,0.54,-10.16
2636,15.04,13.76,180,917,74.90,14.00,1.56,33,0.00,4.93,0.00,0,0.31,0.00,0,0.0,-9.72,4.29,0.00,0.54,-10.16
2715,14.81,13.76,180,918,74.90,14.00,2.15,33,0.00,5.08,0.00,0,0.33,0.00,0,0.0,-9.58,5.04,0.00,0.54,-10.16
2792,14.93,13.76,180,919,74.90,14.00,1.96,33,0.00,5.22,0.00,0,0.34,0.00,0,0.0,-9.43,5.19,0.00,0.54,-10.16
2870,14.70,13.76,180,939,74.90,11.50,2.00,33,0.00,5.37,0.00,0,0.32,0.00,0,0.0,-9.29,5.22,0.00,0.54,-10.16
2948,14.70,13.76,180,970,74.90,8.50,1.86,33,0.00,5.37,0.00,0,0.31,0.00,0,0.0,-9.29,5.19,0.00,0.54,-10.16
3024,14.47,13.76,180,983,74.90,6.00,1.91,33,0.00,5.37,0.00,0,0.31,0.00,0,0.0,-9.29,5.16,0.00,0.54,-10.16
3103,14.01,13.76,180,954,74.90,11.50,1.83,33,0.00,5.37,0.00,0,0.33,0.00,0,0.0,-9.29,5.13,0.00,0.54,-10.16
3180,13.78,13.76,180,917,74.90,16.00,1.96,33,0.00,5.37,0.00,0,0.35,0.00,0,0.0,-9.29,5.22,0.00,0.54,-10.16
3258,13.78,13.76,180,901,74.90,17.50,1.92,33,0.00,5.51,0.00,0,0.36,0.00,0,0.0,-9.00,5.41,0.00,0.54,-10.16
3335,13.90,13.76,180,897,74.90,17.50,1.91,33,0.00,5.66,0.00,0,0.36,0.00,0,0.0,-9.00,5.45,0.00,0.54,-10.16
3412,14.13,13.76,180,912,74.90,15.50,1.94,33,0.00,5.66,0.00,0,0.35,0.00,0,0.0,-8.85,5.39,0.00,0.54,-10.16
3491,14.36,13.68,180,924,74.90,14.00,1.97,33,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-8.85,5.32,0.00,0.54,-10.16
3567,14.24,13.76,180,923,74.90,14.50,1.77,33,0.00,5.80,0.00,0,0.33,0.00,0,0.0,-8.85,5.22,0.00,0.54,-10.16
3646,14.24,13.60,180,932,74.90,13.50,1.79,33,0.00,5.80,0.00,0,0.33,0.00,0,0.0,-8.85,5.16,0.00,0.54,-10.16
3722,14.13,13.76,180,916,74.90,15.50,1.76,33,0.00,5.80,0.00,0,0.33,0.00,0,0.0,-8.85,5.10,0.00,0.54,-10.16
3802,14.24,13.76,180,920,74.90,15.00,1.77,33,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-8.85,5.16,0.00,0.54,-10.16
3878,14.36,13.60,180,897,74.90,17.00,1.91,33,0.00,5.80,0.00,0,0.35,0.00,0,0.0,-8.85,5.22,0.00,0.54,-10.16
3956,14.59,13.76,180,890,74.90,17.50,1.90,33,0.00,5.80,0.00,0,0.35,0.00,0,0.0,-8.85,5.22,0.00,0.54,-10.16
4035,14.59,13.68,180,899,74.90,16.50,1.92,33,0.00,5.80,0.00,0,0.35,0.00,0,0.0,-8.85,5.26,0.00,0.54,-10.16
4110,14.70,13.76,180,898,74.90,15.50,1.92,33,0.00,5.95,0.00,0,0.35,0.00,0,0.0,-8.71,5.22,0.00,0.54,-10.16
4188,14.81,13.76,180,908,74.90,15.50,1.94,33,0.00,5.95,0.00,0,0.34,0.00,0,0.0,-8.85,5.19,0.00,0.54,-10.16
4266,14.93,13.68,180,919,74.90,14.00,1.93,33,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-8.85,5.16,0.00,0.54,-10.16
4344,14.81,13.76,180,912,74.90,14.00,1.75,33,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-8.85,5.13,0.00,0.54,-10.16
4425,14.81,13.68,180,916,74.90,14.00,1.76,33,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-8.85,5.13,0.00,0.54,-10.16
4498,14.93,13.76,180,907,74.90,14.00,1.93,33,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-8.85,5.16,0.00,0.54,-10.16
4577,14.93,13.68,180,908,74.90,14.50,1.94,33,0.00,5.80,0.00,0,0.35,0.00,0,0.0,-8.85,5.19,0.00,0.54,-10.16
4654,15.04,13.52,180,887,74.90,17.00,1.93,33,0.00,5.80,0.00,0,0.36,0.00,0,0.0,-8.85,5.22,0.00,0.54,-10.16
4732,15.16,13.76,180,875,74.90,18.00,1.87,33,0.00,5.95,0.00,0,0.37,0.00,0,0.0,-8.71,5.29,0.00,0.54,-10.16
4808,15.04,13.68,180,868,74.90,18.50,1.85,33,0.00,5.95,0.00,0,0.37,0.00,0,0.0,-8.71,5.35,0.00,0.54,-10.16
4887,15.27,13.76,180,868,74.90,18.00,1.85,33,0.00,5.95,0.00,0,0.38,0.00,0,0.0,-8.71,5.41,0.00,0.54,-10.16
4965,15.04,13.76,180,872,74.90,17.50,1.86,33,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.48,0.00,0.54,-10.16
5042,15.27,13.76,180,883,74.90,16.00,1.88,33,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.48,0.00,0.54,-10.16
5120,14.81,13.68,180,894,74.90,14.50,1.90,33,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.48,0.00,0.54,-10.16
5197,14.59,13.76,180,894,74.90,14.50,1.91,33,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.41,0.00,0.54,-10.16
5275,14.70,13.44,180,894,74.90,14.50,1.91,33,0.00,6.09,0.00,0,0.38,0.00,0,0.0,-8.56,5.45,0.00,0.54,-10.16
5353,14.47,13.44,180,883,74.90,15.50,1.88,33,0.00,6.09,0.00,0,0.38,0.00,0,0.0,-8.42,5.68,0.00,0.54,-10.16
5430,14.59,13.68,180,872,74.90,16.50,2.05,33,0.00,6.24,0.00,0,0.40,0.00,0,0.0,-8.42,5.71,0.00,0.54,-10.16
5508,14.47,13.76,180,862,74.90,17.50,2.02,33,0.00,6.24,0.00,0,0.43,0.00,0,0.0,-8.27,6.05,0.00,0.54,-10.16
5585,14.70,13.84,180,862,74.90,17.50,2.21,33,0.00,6.53,0.00,0,0.43,0.00,0,0.0,-8.13,6.29,0.00,0.54,-10.16
5664,14.81,13.76,180,879,74.90,15.50,2.06,33,0.00,6.53,0.00,0,0.42,0.00,0,0.0,-8.13,6.22,0.00,0.54,-10.16
5741,14.81,13.76,180,902,74.90,13.00,1.92,33,0.00,6.67,0.00,0,0.40,0.00,0,0.0,-8.13,5.61,0.00,0.54,-10.16
5818,14.81,13.76,180,918,74.90,11.00,2.16,33,0.00,6.53,0.00,0,0.39,0.00,0,0.0,-8.27,5.45,0.00,0.54,-10.16
5895,14.47,13.76,180,912,74.90,12.00,1.95,33,0.00,6.38,0.00,0,0.38,0.00,0,0.0,-8.27,5.45,0.00,0.54,-10.16
5974,14.24,13.76,180,904,74.90,13.00,1.93,33,0.00,6.24,0.00,0,0.37,0.00,0,0.0,-8.42,5.52,0.00,0.54,-10.16
6050,14.24,13.76,180,907,74.90,13.00,1.93,33,0.00,6.24,0.00,0,0.39,0.00,0,0.0,-8.42,5.67,0.00,0.54,-10.16
6129,14.24,13.76,180,884,74.90,15.50,2.26,33,0.00,6.38,0.00,0,0.41,0.00,0,0.0,-8.27,6.07,0.00,0.54,-10.16
6206,14.47,13.76,180,886,74.90,15.50,2.08,33,0.00,6.53,0.00,0,0.41,0.00,0,0.0,-8.13,6.18,0.00,0.54,-10.16
6284,14.59,13.76,180,906,74.90,13.00,2.12,33,0.00,6.53,0.00,0,0.39,0.00,0,0.0,-8.13,5.83,0.00,0.54,-10.16
6361,14.70,13.76,180,928,74.90,11.00,1.98,33,0.00,6.53,0.00,0,0.38,0.00,0,0.0,-8.27,5.54,0.00,0.54,-10.16
6438,14.93,13.68,180,935,74.90,10.50,1.99,33,0.00,6.38,0.00,0,0.37,0.00,0,0.0,-8.27,5.45,0.00,0.54,-10.16
6517,14.81,13.76,180,921,74.90,12.00,1.97,33,0.00,6.24,0.00,0,0.37,0.00,0,0.0,-8.42,5.52,0.00,0.54,-10.16
6595,14.70,13.68,180,920,74.90,12.50,1.96,33,0.00,6.24,0.00,0,0.39,0.00,0,0.0,-8.42,5.91,0.00,0.54,-10.16
6672,14.70,13.76,180,908,74.90,14.00,2.13,33,0.00,6.24,0.00,0,0.40,0.00,0,0.0,-8.27,6.11,0.00,0.54,-10.16
6749,14.81,13.76,180,910,74.90,14.00,2.14,33,0.00,6.38,0.00,0,0.38,0.00,0,0.0,-8.27,6.04,0.00,0.54,-10.16
6827,14.93,13.68,180,931,74.90,11.50,2.18,33,0.00,6.38,0.00,0,0.37,0.00,0,0.0,-8.27,5.74,0.00,0.54,-10.16
6904,14.81,13.76,180,924,74.90,12.50,1.97,33,0.00,6.38,0.00,0,0.37,0.00,0,0.0,-8.27,5.61,0.00,0.54,-10.16
6982,14.93,13.76,180,922,74.90,13.00,1.97,33,0.00,6.24,0.00,0,0.37,0.00,0,0.0,-8.42,5.54,0.00,0.54,-10.16
7059,14.81,13.76,180,910,74.90,14.00,1.94,33,0.00,6.24,0.00,0,0.38,0.00,0,0.0,-8.42,5.71,0.00,0.54,-10.16
7137,14.93,13.76,180,910,74.90,14.00,1.94,33,0.00,6.24,0.00,0,0.40,0.00,0,0.0,-8.42,5.94,0.00,0.54,-10.16
7214,14.93,13.60,180,902,74.90,15.00,2.10,33,0.00,6.24,0.00,0,0.40,0.00,0,0.0,-8.27,6.07,0.00,0.54,-10.16
7292,15.04,13.76,180,913,74.90,14.00,2.14,33,0.00,6.38,0.00,0,0.39,0.00,0,0.0,-8.27,5.94,0.00,0.54,-10.16
7370,15.27,13.68,180,930,74.90,12.00,1.98,33,0.00,6.38,0.00,0,0.36,0.00,0,0.0,-8.27,5.65,0.00,0.54,-10.16
7448,15.04,13.76,180,928,74.90,12.50,1.98,33,0.00,6.24,0.00,0,0.36,0.00,0,0.0,-8.42,5.45,0.00,0.54,-10.16
7524,15.04,13.68,180,928,74.90,12.50,1.98,33,0.00,6.24,0.00,0,0.36,0.00,0,0.0,-8.42,5.54,0.00,0.54,-10.16
7603,14.81,13.68,180,908,74.90,14.50,1.91,33,0.00,6.24,0.00,0,0.38,0.00,0,0.0,-8.42,5.61,0.00,0.54,-10.16
7679,14.81,13.76,180,899,74.90,15.50,1.92,33,0.00,6.24,0.00,0,0.39,0.00,0,0.0,-8.42,5.83,0.00,0.54,-10.16
7757,14.93,13.68,180,903,74.90,15.50,2.12,33,0.00,6.24,0.00,0,0.38,0.00,0,0.0,-8.42,5.83,0.00,0.54,-10.16
7836,15.16,13.76,180,912,74.90,14.00,1.95,33,0.00,6.38,0.00,0,0.37,0.00,0,0.0,-8.42,5.65,0.00,0.54,-10.16
7912,15.27,13.68,180,920,74.90,13.00,1.96,33,0.00,6.24,0.00,0,0.37,0.00,0,0.0,-8.42,5.58,0.00,0.54,-10.16
7990,15.27,13.76,180,915,74.90,14.00,1.95,33,0.00,6.24,0.00,0,0.37,0.00,0,0.0,-8.42,5.58,0.00,0.54,-10.16
8068,15.27,13.76,180,911,74.90,14.00,1.95,33,0.00,6.24,0.00,0,0.37,0.00,0,0.0,-8.42,5.58,0.00,0.54,-10.16
8146,15.04,13.76,180,916,74.90,14.00,1.95,33,0.00,6.24,0.00,0,0.37,0.00,0,0.0,-8.42,5.61,0.00,0.54,-10.16
8224,15.04,13.76,180,910,74.90,14.50,1.94,33,0.00,6.24,0.00,0,0.37,0.00,0,0.0,-8.42,5.65,0.00,0.54,-10.16
8301,14.93,13.76,180,920,74.90,13.50,1.96,33,0.00,6.24,0.00,0,0.37,0.00,0,0.0,-8.42,5.65,0.00,0.54,-10.16
8378,14.93,13.76,180,916,74.90,14.00,1.96,34,0.00,6.24,0.00,0,0.36,0.00,0,0.0,-8.42,5.61,0.00,0.54,-10.16
8456,15.04,13.76,180,922,74.90,13.50,1.97,34,0.00,6.24,0.00,0,0.36,0.00,0,0.0,-8.42,5.58,0.00,0.54,-10.16
8533,15.04,13.76,180,924,74.90,13.00,1.97,34,0.00,6.24,0.00,0,0.36,0.00,0,0.0,-8.42,5.61,0.00,0.54,-10.16
8611,15.04,13.76,180,914,74.90,14.50,1.95,34,0.00,6.24,0.00,0,0.36,0.00,0,0.0,-8.42,5.58,0.00,0.54,-10.16
8688,15.16,13.76,180,918,74.90,14.00,1.96,34,0.00,6.24,0.00,0,0.37,0.00,0,0.0,-8.42,5.65,0.00,0.54,-10.16
8765,15.16,13.76,180,910,74.90,15.00,1.94,34,0.00,6.24,0.00,0,0.37,0.00,0,0.0,-8.42,5.58,0.00,0.54,-10.16
8843,15.16,13.76,180,917,74.90,14.00,1.96,34,0.00,6.24,0.00,0,0.37,0.00,0,0.0,-8.42,5.65,0.00,0.54,-10.16
8922,15.16,13.76,180,927,74.90,13.00,1.98,34,0.00,6.24,0.00,0,0.36,0.00,0,0.0,-8.42,5.61,0.00,0.54,-10.16
8999,15.16,13.76,180,925,74.90,13.50,1.97,34,0.00,6.24,0.00,0,0.36,0.00,0,0.0,-8.42,5.58,0.00,0.54,-10.16
9076,15.04,13.76,180,936,74.90,12.00,2.00,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.58,0.00,0.54,-10.16
9153,14.93,13.76,180,926,74.90,13.50,1.98,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.58,0.00,0.54,-10.16
9231,14.93,13.76,180,937,74.90,12.50,2.00,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.58,0.00,0.54,-10.16
9308,14.93,13.76,180,921,74.90,14.00,1.97,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.61,0.00,0.54,-10.16
9386,14.93,13.76,180,913,74.90,15.50,1.95,34,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.58,0.00,0.54,-10.16
9465,14.93,13.76,180,918,74.90,14.50,1.96,34,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.61,0.00,0.54,-10.16
9541,15.04,13.76,180,914,74.90,15.00,1.95,34,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.65,0.00,0.54,-10.16
9619,14.93,13.76,180,918,74.90,14.50,1.96,34,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.58,0.00,0.54,-10.16
9697,14.93,13.76,180,916,74.90,14.50,1.95,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.54,0.00,0.54,-10.16
9775,14.81,13.68,180,936,74.90,13.50,2.00,34,0.00,6.09,0.00,0,0.35,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
9852,14.93,13.76,180,930,74.90,13.00,1.98,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
9929,14.70,13.60,180,920,74.90,14.50,1.96,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
10008,14.81,13.68,180,919,74.90,14.50,1.96,34,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.58,0.00,0.54,-10.16
10085,14.81,13.68,180,912,74.90,15.50,1.95,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.58,0.00,0.54,-10.16
10163,14.93,13.68,180,913,74.90,15.00,1.96,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.54,0.00,0.54,-10.16
10240,15.04,13.68,180,922,74.90,14.00,1.97,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.58,0.00,0.54,-10.16
10318,14.81,13.60,180,929,74.90,13.00,1.98,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
10395,14.93,13.76,180,934,74.90,12.50,1.99,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
10472,14.70,13.68,180,928,74.90,13.50,1.98,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
10550,14.81,13.60,180,922,74.90,14.00,1.98,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
10628,14.81,13.68,180,928,74.90,13.50,1.98,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
10705,14.70,13.68,180,921,74.90,14.00,1.96,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
10783,14.81,13.68,180,918,74.90,14.50,1.96,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
10860,14.81,13.68,180,918,74.90,14.50,1.96,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
10938,14.93,13.68,180,925,74.90,13.50,1.97,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
11016,14.93,13.68,180,927,74.90,13.50,1.98,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.45,0.00,0.54,-10.16
11094,14.70,13.68,180,913,74.90,15.00,1.95,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.48,0.00,0.54,-10.16
11171,14.81,13.76,180,913,74.90,15.00,1.95,34,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.54,0.00,0.54,-10.16
11250,14.59,13.68,180,910,74.90,15.00,1.94,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
11327,14.81,13.68,180,910,74.90,15.00,1.94,34,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
11404,14.70,13.68,180,911,74.90,14.50,1.94,34,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
11481,14.70,13.76,180,911,74.90,14.50,1.94,34,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
11558,14.81,13.76,180,911,74.90,14.50,1.94,34,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.54,0.00,0.54,-10.16
11636,14.70,13.68,180,908,74.90,15.00,1.94,34,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.58,0.00,0.54,-10.16
11713,14.81,13.68,180,917,74.90,14.00,1.96,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.54,0.00,0.54,-10.16
11791,14.70,13.68,180,916,74.90,14.00,1.96,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
11870,14.59,13.68,180,918,74.90,13.50,1.96,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
11947,14.81,13.68,180,921,74.90,13.50,1.97,34,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
12025,14.70,13.76,180,906,74.90,15.00,1.93,34,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.48,0.00,0.54,-10.16
12101,14.81,13.68,180,909,74.90,14.50,1.94,34,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
12180,14.70,13.68,180,910,74.90,14.50,1.94,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
12258,14.81,13.68,180,905,74.90,15.50,1.94,34,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.54,0.00,0.54,-10.16
12335,14.93,13.68,180,916,74.90,13.50,1.95,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.54,0.00,0.54,-10.16
12412,14.81,13.68,180,919,74.90,14.00,1.96,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
12490,15.04,13.68,180,926,74.90,12.50,1.98,34,0.00,6.09,0.00,0,0.36,0.00,1,0.0,-8.56,5.48,0.00,0.54,-10.16
12568,14.81,13.76,180,923,74.90,13.00,1.97,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
12646,14.93,13.68,180,912,74.90,14.00,1.97,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
12723,14.93,13.68,180,912,74.90,14.00,1.95,34,0.00,6.09,0.00,0,0.37,0.00,0,0.0,-8.56,5.54,0.00,0.54,-10.16
12801,14.70,13.68,180,913,74.90,14.00,1.95,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.54,0.00,0.54,-10.16
12878,15.04,13.68,180,921,74.90,13.00,1.96,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
12956,14.81,13.68,180,922,74.90,13.00,1.97,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
13033,14.93,13.76,180,919,74.90,13.50,1.96,34,0.00,6.09,0.00,0,0.36,0.00,0,0.0,-8.56,5.52,0.00,0.54,-10.16
